L,saddle_2R1_0,saddle_1R2_w
100,8.492005392397965,8.465326279679232
200,8.508771515628256,8.479108603323024
300,8.511905932570073,8.481358541315291
400,8.513005532053857,8.482098738357422
500,8.513515031394167,8.482430796558734
600,8.513792008084309,8.48260806425925
700,8.513959036022412,8.48271383233643
800,8.514067464163706,8.482782014307695
900,8.514141921222837,8.482828543326072
1000,8.514195096557021,8.4828617157347
1100,8.514234494137146,8.482886200161854
1200,8.514264450493739,8.482904788492535
1300,8.51428775358502,8.48291923409013
1400,8.514306314594537,8.482930683408624
1500,8.514321212650113,8.482939911837443
1600,8.514333394328812,8.48294745910076
1700,8.514343561492073,8.482953710307328
1800,8.514352084003463,8.482958946235147
1900,8.514359217598747,8.482963375513979
2000,8.514365379731313,8.48296715578985
