L,saddle_0,saddle_w
100,2.127384364253591,2.857643109030522
200,2.118203094975717,2.2223052982215963
300,2.115285925075309,2.19739731251964
400,2.1134842974752925,2.182534167597598
500,2.1125495566476364,2.171890681032883
600,2.111881234400552,2.166578151864963
700,2.11158011314423,2.160278410371108
800,2.111217844087862,2.1563506192780935
900,2.111011771513602,2.1539856708888845
1000,2.1107076198220516,2.1510507735582074
1100,2.110499513023424,2.149042934749068
1200,2.110356019348582,2.146225330361827
1300,2.11025725712572,2.1440538322179865
1400,2.1101902138396187,2.143747349373129
1500,2.1101461321165664,2.14241843297698
1600,2.1100046532706718,2.1401316863720816
1700,2.109890446190243,2.139424810678504
1800,2.1098969574306348,2.1389351816903175
1900,2.109814918009932,2.137446584601634
2000,2.109745754383111,2.1361717098957356
100,2.127384364253591,2.118685491125415,2.1254197849510055,2.1237994296515534
200,2.118203094975717,2.10940130414242,2.115949191261295,2.1139793001108322
300,2.115285925075309,2.1065222750767316,2.112847044885087,2.1106110782805785
400,2.1134842974752925,2.1055076811871016,2.1108976258938728,2.1090841623910146
500,2.1125495566476364,2.10552075882997,2.1098509958155334,2.1083760030879475
