L,saddle_2R1_0,saddle_1R2_w
100,2.127384364253591,2.8582599421517365
200,2.118203094975717,2.2248700364106004
300,2.115285925075309,2.1984456255515394
400,2.1134842974752925,2.1824815491011487
500,2.1125495566476364,2.173304702996861
600,2.111881234400552,2.1648918923098255
700,2.11158011314423,2.1598964516390198
800,2.111217844087862,2.1569979008060565
900,2.111011771513602,2.1522107105493054
1000,2.1107076198220516,2.1502452355038617
1100,2.110499513023424,2.147619003370665
1200,2.110356019348582,2.1456969844366234
1300,2.11025725712572,2.1430210224236124
1400,2.1101902138396187,2.142087833499702
1500,2.1101461321165664,2.140293339179142
1600,2.1100046532706718,2.1388367487232838
1700,2.109890446190243,2.1376526746875326
1800,2.1098969574306348,2.1366918634843177
1900,2.109814918009932,2.1359166861612198
2000,2.109745754383111,2.135298038614008
