L,saddle_2R1_0,saddle_1R2_w
100,4.627604365463018,4.535144185181492
200,4.578598605634488,4.42461109332433
300,4.571004647185902,4.409164471524523
400,4.561848975743882,4.409769759772657
500,4.554778827196086,4.407794848653375
600,4.554227398717822,4.417218083919284
700,4.556738796713998,4.432371895847288
800,4.554418530298401,4.434094843919771
900,4.553903623182096,4.4393028529965495
1000,4.549180157113464,4.4467345550963335
1100,4.550824719941661,4.441711261601371
1200,4.54825227224581,4.452106215031904
1300,4.546474637148501,4.450314037031291
1400,4.549336870415886,4.462071539446649
1500,4.54834944692908,4.46209127442612
1600,4.5477211449678165,4.462932193428877
1700,4.547370093847577,4.4644162772579286
1800,4.547235893790737,4.466409463835158
1900,4.5440737917592395,4.468809594767243
2000,4.54436011309947,4.471538049057046
