L,saddle_2R1_0,saddle_1R2_w
100,1.3157000053539183,1.3327027500289417
200,1.314127980603269,1.3219722734392394
300,1.31373143531302,1.3187206313225608
400,1.313544631383467,1.3171898063890681
500,1.3134529596157882,1.3162696294810157
600,1.313392988491799,1.3156783991758565
700,1.313352991042768,1.3152806533773336
800,1.3133274203256375,1.3149672153508711
900,1.3133069029500495,1.3147469454072271
1000,1.313292560730972,1.3145677258845851
1100,1.31327981535488,1.3144330017810708
1200,1.3132702112067265,1.31431393583747
1300,1.313262804895042,1.3142059481222035
1400,1.3132554122641176,1.3141189945997613
1500,1.3132509040716547,1.3140479872002016
1600,1.3132459639069498,1.313989317407921
1700,1.3132418963514456,1.3139403657073825
1800,1.313238509908399,1.3138894731631323
1900,1.3132356624029609,1.3138459886408203
2000,1.313233246565491,1.3138085568535414
