L,saddle_2R1_0,saddle_1R2_w
100,2.127384364253591,2.8522871289920495
200,2.118203094975717,2.219506439520785
300,2.115285925075309,2.1946873141646326
400,2.1134842974752925,2.179411751520351
500,2.1125495566476364,2.170830731798219
600,2.111881234400552,2.167645716443133
700,2.11158011314423,2.162157078282861
800,2.111217844087862,2.1591004198872983
900,2.111011771513602,2.155180996042262
1000,2.1107076198220516,2.152579174283174
1100,2.110499513023424,2.1509415593194223
1200,2.110356019348582,2.1500373135667568
1300,2.11025725712572,2.1474475015799306
1400,2.1101902138396187,2.1476011312027063
1500,2.1101461321165664,2.145935971331166
1600,2.1100046532706718,2.1446318507167637
1700,2.109890446190243,2.1436258445929095
1800,2.1098969574306348,2.059929237445835
1900,2.109814918009932,2.0583110484169955
2000,2.109745754383111,2.057893284583618
