β,sre,pf_minus_α,pf_plus_α,pf_minus_1,pf_plus_1
0.1,3.809279520905484e-5,4.0012473365597065,9.735147168150171e-14,2.000311960082329,0.00031210931116970803
0.2,0.00015188187710624135,4.004987389425118,1.543131288330896e-12,2.0012451306486603,0.0012437980760455112
0.30000000000000004,0.0003399219139641474,4.011214321332483,7.691866368543116e-12,2.0027915391382063,0.002781437402153045
0.4,0.0005998769386634795,4.01991851303662,2.3791447110931468e-11,2.004938379690634,0.004903208906620992
0.5,0.0009286218900521614,4.031086723693291,5.6510397044340536e-11,2.00766870406701,0.007580396013620197
0.6000000000000001,0.0013223705695313281,4.044702307861282,1.1335278468803117e-10,2.0109622195143384,0.01077885386003084
0.7000000000000001,0.0017768188310860467,4.060745482105102,2.0202316737934249e-10,2.0147961846687537,0.014460661236290395
0.8,0.002287292017964848,4.079193632898834,3.2980459965652784e-10,2.019146350657778,0.018585825847970656
0.9000000000000001,0.002848887105397102,4.10002165668028,5.030053622926661e-10,2.0239876190153026,0.023113470200198195
1.0,0.0034566024523243755,4.123202322514694,7.265167172417468e-10,2.029295137880768,0.028003748150291895
