beta,log_purity,w_crit,log_Z
0.5,0.34645262068300336,0.000964538686288888,0.3466345447323735
1.0,0.3461022349173186,0.003722739246174249,0.34681646844445957
1.5,0.3455557157701775,0.007925466585942906,0.34711662374403135
2.0,0.3448572201342375,0.013137907444220968,0.3475307007977297
2.5,0.34405198596381487,0.0189591127651045,0.34805314492948985
3.0,0.343180048826576,0.025077522530656544,0.34867752919378525
3.5,0.3422736813704764,0.03127663234596829,0.34939691572007575
4.0,0.34135727884953204,0.037416957834614926,0.3502041773361994
4.5,0.3404483631228551,0.04341025857301802,0.3510922440708834
5.0,0.3395589969189796,0.049209923182523124,0.352054294604533
5.5,0.33869708512263436,0.05479172315321928,0.353083883331847
6.0,0.3378674237619118,0.06014206587385874,0.35417499493152504
6.5,0.33707264409400595,0.06526293811826066,0.35532209173195534
7.0,0.33631381995117926,0.07015789496466086,0.35652012395554844
7.5,0.33559093020494846,0.0748383769458148,0.35776448885825574
8.0,0.33490304236707763,0.07930353413131037,0.35905103643342007
8.5,0.33424793040537615,0.08355780019990967,0.36037602004713326
9.0,0.33362650924763165,0.08771529335195995,0.3617360665700442
9.5,0.3330362188222075,0.0917279200930655,0.36312814187355297
10.0,0.332475196401424,0.09560468580225236,0.36454951748982045
10.5,0.331942004862809,0.0993621038379936,0.3659977290874085
11.0,0.3314346334108146,0.10300364833324707,0.36747058773109853
11.5,0.33095133422843104,0.10653769764092039,0.36896609498094574
12.0,0.3304905823732003,0.10997381787883952,0.37048245800558793
12.5,0.3300517924525475,0.11332971785380516,0.3720180456273091
13.0,0.3296314950356859,0.11658842992939918,0.3735714257843038
13.5,0.32923267596254246,0.11979669147698527,0.3751412855467201
14.0,0.328848067274088,0.12290469749744477,0.3767264265942786
14.5,0.32848305180918547,0.1259693391996508,0.3783258258443216
15.0,0.3281322811478112,0.12895984399841684,0.37993857613535587
15.5,0.327792971710668,0.13186899723637294,0.38156415126413223
16.0,0.32747204454893897,0.1347441152412127,0.38320181354421134
16.5,0.3271548325265397,0.13753472795337426,0.3848494240793239
17.0,0.3268687218268793,0.1403539240893705,0.3865071127269683
17.5,0.32658623821515353,0.14309004962516866,0.3881742131895441
18.0,0.32629953171000575,0.14573083716110347,0.3898501234831089
18.5,0.3260254892901645,0.14834439186994566,0.391534219292365
19.0,0.32576648159499255,0.15093323349865934,0.39322637842573016
19.5,0.3255237978935538,0.1535000684009451,0.39492577860186373
20.0,0.32529882320324033,0.15604674230208296,0.3966318509962903
