beta,log_purity,w_crit,log_Z
0.5,0.3464534162750324,0.0010729653261960224,0.3466345447323735
1.0,0.3461028743645557,0.003585464696516769,0.34681646844445957
1.5,0.3455568670345374,0.00801734279233715,0.34711662374403135
2.0,0.344860572051266,0.013268893459871051,0.3475307007977297
2.5,0.34406110396193196,0.018660460918441243,0.34805314492948985
3.0,0.3432013653044657,0.024871700948724967,0.34867752919378525
3.5,0.3423173340491857,0.03144950969693738,0.34939691572007575
4.0,0.34143780975392407,0.037067629082399994,0.3502041773361994
4.5,0.3405888489994165,0.04245919654097019,0.3510922440708834
5.0,0.33977539715128663,0.05022324657882485,0.352054294604533
5.5,0.3390144654185892,0.0542885559567165,0.353083883331847
6.0,0.33831721788501684,0.06086636470492893,0.35417499493152504
6.5,0.3376889629785487,0.06182605406767874,0.35532209173195534
7.0,0.33711854496017274,0.07246917219378282,0.35652012395554844
7.5,0.3366017320746743,0.07402198220135375,0.35776448885825574
8.0,0.3362133085930074,0.07749417093442432,0.35905103643342007
