weight,log_swap,pf_minus,pf_plus
0.0,0.016061835483776488,149.0803498896008,1.405032893707427
0.05,-0.5166001014398418,145.07704359472908,2.0641974264397946
0.1,-0.8287062788045039,135.24613351564,3.9531851085096084
0.15,-1.092116500778837,126.23292981057958,6.041553637541979
0.2,-1.317324616402193,118.03175527246414,8.360310683453292
0.25,-1.5108023811826956,110.59938766731459,10.888505545829258
0.3,-1.637462771798746,102.11097594942875,13.632180182712581
0.35,-1.788749316289144,95.80145688962142,16.24727594436743
0.4,-1.918487395047775,90.10940605245362,18.961478826107644
0.45,-2.029557721593397,84.95839705868437,21.72425387949312
0.5,-2.096197625488757,78.99467166507843,24.50243566983347
0.55,-2.18243371068006,74.52308005140281,27.052707322858005
0.6,-2.254557523455273,70.42220793731607,29.576613373382667
0.65,-2.2926379158237244,65.72383726568924,32.01847040468944
0.7,-2.34580332324183,61.95723543738215,34.252837454060774
0.75,-2.3683966226575714,57.80530057571602,36.46285243663595
0.8,-2.403511862944427,54.11582505363399,38.47137019381521
0.85,-2.4114705008778774,50.01551954727262,40.49756889599887
0.9,-2.4107708997253043,45.84102056496424,42.56796132633459
0.95,-2.4001241690030373,41.387626764338236,44.7431173067943
1.0,-2.377013328219385,36.480706871630225,47.12313665009528
