weight,log_swap,pf_minus,pf_plus
0.0,-0.019239742521458325,396889.4837564279,213.28656765577105
0.1,-0.8283681080482053,332619.22678570426,5918.126927426717
0.2,-1.3017186591124696,280569.5168351766,17299.772339712654
0.3,-1.643765205900519,230969.95727380074,31966.0469803182
0.4,-1.8853088713692907,188574.0508275134,48069.39180900804
0.5,-2.047813717681536,155132.1471384619,63001.51369490962
0.6,-2.152316201817852,130981.56483217176,74796.94416258045
0.7,-2.2134864850318596,111506.6051187457,83903.02855756987
0.8,-2.2353613107628565,91472.59628030933,92018.67328907059
0.9,-2.2090959300026913,66883.03882641958,100642.58334696968
1.0,-2.113394615181381,34445.41845926136,112461.77896222007

0.0,-0.5908798851179196,611840.9077922264,17166.653603807892
0.05,-0.7529519108370497,447091.8717593587,58219.26215047306
