weight,log_swap,pf_minus,pf_plus
0.0,-1.2839123960097734,3.015844772319213e9,3.6237435881552565e8
0.05,-1.3869233745596166,3.028875499390471e9,6.248181748475692e8
0.1,-1.4767138603175756,2.9803437653170967e9,8.614965271510481e8
0.15,-1.5515474681278363,2.914569980105155e9,1.0787567767635317e9
0.2,-1.6131234013093998,2.845506776954206e9,1.2761370510860667e9
0.25,-1.6636069328268128,2.7784232757636724e9,1.452437268451961e9
0.3,-1.7051949777388273,2.714911577538759e9,1.6067151078614872e9
0.35,-1.7400194287990018,2.654639654800813e9,1.7384800971181316e9
0.4,-1.770103390043138,2.5961267070128045e9,1.8476968459910367e9
0.45,-1.797325200008972,2.5371435840123243e9,1.9347319451809661e9
0.5,-1.8233862971570112,2.4749474411626215e9,2.0002793374279222e9
0.55,-1.8497858997559131,2.406440559155872e9,2.0452730609014554e9
0.6,-1.8778060594843105,2.3282993556967983e9,2.0707888422182276e9
0.65,-1.9085106492555006,2.237099876961055e9,2.0779336747321928e9
0.7,-1.9427625367505108,2.1294547593991632e9,2.067721241005774e9
0.75,-1.9812650903381748,2.0021681220291417e9,2.040929060938306e9
0.8,-2.0246382923870794,1.8524062328551824e9,1.9979287848141997e9
0.85,-2.073549070841283,1.677869589520981e9,1.93847037168295e9
0.9,-2.128939114858584,1.4769263408828874e9,1.8613732192713761e9
0.95,-2.192463693121727,1.2485892532044146e9,1.7639941680168242e9
1.0,-2.2675187154166885,9.918988964018949e8,1.6410273781419082e9
