weight,saddle,pf_minus,pf_plus,p_plus,entropy
0.0,6.198265038251062,598.4401188045158,2.3842858845014474,0.003968357253623108,0
0.02,6.184337131406168,592.1548022258023,79.66590722570076,0.1185820950514352,0.14144054254182067
0.04,6.1698841003182805,586.7633042981525,112.12762891777291,0.1604365196180483,0.24229218908241482
0.06,6.155113546643632,581.2809499859104,137.02527044561796,0.19076163695658782,0.32744491915447627
0.08,6.140035255345101,575.723650608908,158.00481130730068,0.21534507588087096,0.4021791902022728
0.1,6.124645502624096,570.0965100913394,176.4788697696165,0.23638452931904128,0.4689955935892812
0.12,6.108935903226526,564.4012167487689,193.1720673703749,0.2549879614550857,0.5293608652873644
0.14,6.092895602355834,558.6379287984331,208.51493726371302,0.27180363456638834,0.584238811642856
0.16,6.076512024994442,552.8059610375069,222.78804020256015,0.28724827660651453,0.6343095546405662
0.18,6.05977116050548,546.9040868381795,236.1862834336407,0.301607952798165,0.6800770457282798
0.2,6.042657657611479,540.9306865443033,248.85159791405187,0.3150888577916357,0.7219280948873623
0.22,6.025154826552902,534.8838247592855,260.89114472174236,0.3278453768053109,0.7601675029619657
0.24,6.007244587502586,528.7612907891539,272.38818843816483,0.33999671160102846,0.7950402793845223
0.26,5.9889073821962775,522.5606180830624,283.4089536768705,0.3516372870727768,0.8267463724926178
0.28,5.970122056061373,516.2790905783622,294.0071420913082,0.36284356100021037,0.8554508105601306
0.3,5.950865713340206,509.91374010047997,304.22701736925876,0.37367864779889337,0.8812908992306927
0.32,5.931113544994851,503.46133703915683,314.1055768893568,0.38419555823270696,0.9043814577244939
0.34,5.910838627383779,496.91837545600606,323.6741203135669,0.3944395323893584,0.9248187049730301
0.36,5.890011688274858,490.2810531394434,332.95940802046204,0.40444976131437776,0.9426831892554922
0.38,5.868600835422602,483.5452467026217,341.9845333459788,0.4142606864235055,0.9580420222262995
0.4,5.846571241517868,476.70648151053695,350.7695906161269,0.4239030014664082,0.9709505944546686
0.42,5.823884777683108,469.7598959632617,359.33219457325424,0.4334044416473999,0.9814538950336535
0.44,5.80049958570839,462.7001994152116,367.6878897533235,0.4427904187805586,0.9895875212220556
0.46,5.776369576761928,455.5216227487214,375.850477088482,0.4520845445283524,0.9953784388202257
0.48,5.751443841186656,448.2178603205992,383.83227737569155,0.46130907259797294,0.9988455359952018
0.5,5.725665949977113,440.7820016384001,391.64434598611416,0.4704852832971292,1.0
0.52,5.6989731233005205,433.2064506705784,399.296649493204,0.4796338288886232,0.9988455359952018
0.54,5.671295234543587,425.4828301158688,406.79821226224317,0.4887750549981066,0.9953784388202257
0.56,5.642553609205013,417.60186720191393,414.15723913877287,0.4979293114816045,0.9895875212220556
0.58,5.612659565625035,409.5532565843537,421.3812189805367,0.5071172654066026,0.9814538950336537
0.6,5.581512627747332,401.3254945769843,428.47701274970603,0.5163602290502795,0.9709505944546686
0.62,5.548998316931129,392.9056771199105,435.45092911973455,0.5256805171102333,0.9580420222262995
0.64,5.5149853973975045,384.27925137617626,442.30878998657477,0.535101849837271,0.9426831892554922
0.66,5.4793224038143,375.4297073228621,449.05598786219906,0.544649822895236,0.92481870497303
0.68,5.441833212953199,366.3381906835286,455.6975368395078,0.5543524710448032,0.9043814577244937
0.7,5.402311323411163,356.9830112753816,462.23811863870003,0.5642409622505449,0.8812908992306927
0.72,5.360512360337423,347.33901009248126,468.68212517360297,0.5743504731905962,0.8554508105601306
0.74,5.316144096301281,337.37673220365946,475.0336991292704,0.5847213191857691,0.8267463724926178
0.76,5.268852923837555,327.0613273994403,481.29677426035,0.5954004460054401,0.7950402793845223
0.78,5.218205139059792,316.3510605127443,487.47511758724295,0.6064434461931723,0.7601675029619656
0.8,5.163660431566555,305.19524765279715,493.57237654843783,0.6179173536759313,0.7219280948873623
0.82,5.104533301338371,293.53132281257723,499.59213578575583,0.6299046262843774,0.6800770457282799
0.84,5.039935087000406,281.28054100255855,505.5379912576863,0.6425090037031266,0.6343095546405662
0.86,4.9686834979814325,268.34145458723833,511.41365522186334,0.6558644487075779,0.584238811642856
0.88,4.889154805069125,254.5795696445357,517.2231175915242,0.6701494127259093,0.5293608652873644
0.9,4.79902823154689,239.81004094647085,522.9709154893499,0.6856108704299462,0.4689955935892811
0.92,4.694810793445167,223.76667428443824,528.6626263467266,0.7026077079976356,0.40217919020227266
0.94,4.570865532576089,206.04116720867188,534.30587305512,0.7216965071741792,0.32744491915447643
0.96,4.417141695347286,185.9481416670722,539.9126870295461,0.743823975181348,0.24229218908241493
0.98,4.212695007827528,162.16332394886626,545.5063664168085,0.7708488491783908,0.14144054254182076
1.0,3.8993844591721407,131.37951823717555,551.1502395819982,0.8075109301359098,0
