beta,log_norm,w_crit,log_Z
0.5,0.19861016210149357,0.2665577978339772,0.3468978462915599
1.0,0.23085786323280016,0.2998134102929681,0.34785599937029515
1.5,0.251022289809883,0.32013995718242644,0.34940766929981676
2.0,0.2656338047923301,0.3342552640416011,0.3514952590928663
2.5,0.2769475473037537,0.3454915028125263,0.3540536687588963
3.0,0.2860495002850691,0.3545818109310595,0.3570180645465289
3.5,0.29356212707279916,0.3621193090420217,0.36032864654233887
4.0,0.2998812582687363,0.3686971177902341,0.3639327970264283
4.5,0.3052726279706775,0.37490835782051785,0.36778551885101657
5.0,0.30991583670691636,0.3805264772059805,0.3718489821921933
5.5,0.31394109936082126,0.38495835530180084,0.3760916389976934
6.0,0.31743372813991205,0.38865709596176373,0.3804872685199537
6.5,0.32047822920520586,0.392495853412763,0.38501411588377643
7.0,0.32311835694991853,0.3977474040802969,0.3896540433651021
7.5,0.32543441706841003,0.40062647216854647,0.39439193936749484
8.0,0.3274320051047097,0.3993002140878678,0.399215158878208
8.5,0.3292014977589821,0.40587802283608027,0.4041130810965683
9.0,0.33073660465697685,0.4046917815464381,0.4090768395117901
9.5,0.33201199405408877,0.4112695902946505,0.4140994331975417
10.0,0.3332613428909022,0.41533489967254217,0.41917463482619916
10.5,0.33432365022509564,0.41533489967254217,0.4242950969903017
11.0,0.33523666868192603,0.41652114096218434,0.42945687481039385
11.5,0.3360378441019798,0.41940020905043385,0.4346559371005241
12.0,0.3367686432301707,0.4194002090504338,0.43988843173427633
12.5,0.3373959243195052,0.41652114096218434,0.44515157432881797
13.0,0.33771358014085306,0.41688770968011307,0.4504418938091639
13.5,0.33846629513899634,0.42405863907314656,0.4557585849393894
14.0,0.3386141165927262,0.4203598984131836,0.46109784476644544
14.5,0.3393274321769653,0.4244252077910753,0.4664573034203114
15.0,0.3396776777397073,0.4265711384434674,0.4718389994466486
15.5,0.3400017132001823,0.4271642590882884,0.4772402318188366
16.0,0.34028576331402455,0.4265711384434674,0.4826550959094698
16.5,0.34055637220950863,0.42346551842832547,0.4880879250008364
17.0,0.3401552633671874,0.418440519687684,0.4935303674867063
17.5,0.340690182880112,0.4128224003022214,0.4989905284807268
18.0,0.3409627018456163,0.4375808252875002,0.5044577574751099
18.5,0.34089990764586886,0.4137820896649712,0.5099452334140685
19.0,0.3413079738999958,0.4366211359247504,0.5154387563041337
19.5,0.3415299889760506,0.42346551842832547,0.5209586073690509
20.0,0.34112774142428837,0.41533489967254217,0.5264586081743933
