beta,log_norm,w_crit,log_Z
0.5,0.1935987021677435,0.2669243665519059,0.3466345447323735
1.0,0.21783881333439048,0.2928690328268269,0.34681646844445957
1.5,0.2330017568800819,0.3079440290487514,0.34711662374403135
2.0,0.24415386422875646,0.31918026781967657,0.3475307007977297
2.5,0.2529856216812379,0.3282705759382098,0.34805314492948985
3.0,0.2602832398246918,0.3354415053312433,0.34867752919378525
3.5,0.2664814065864696,0.34142619343463465,0.34939691572007575
4.0,0.2718483384890206,0.3470443128200972,0.3502041773361994
4.5,0.27656248210113793,0.3514761909159176,0.3510922440708834
5.0,0.2807493658270597,0.3561346209386304,0.352054294604533
5.5,0.28450137405505954,0.359606809671701,0.353083883331847
6.0,0.2878882664858421,0.3633055503316639,0.35417499493152504
6.5,0.2909653407894109,0.3661846184199134,0.35532209173195534
7.0,0.2937762716457126,0.36929023843505526,0.35652012395554844
7.5,0.2963563687312104,0.37239585845019707,0.35776448885825574
8.0,0.29873427990082435,0.37490835782051785,0.35905103643342007
8.5,0.3009319464205293,0.3774208571908386,0.36037602004713326
9.0,0.3029656675686361,0.3799333565611594,0.3617360665700442
9.5,0.30484784917482405,0.381852735286659,0.36312814187355297
10.0,0.3065914530163941,0.3834055452942299,0.36454951748982045
10.5,0.30820180037649286,0.3859180446645506,0.3659977290874085
11.0,0.30967661535059965,0.38747085467212156,0.36747058773109853
11.5,0.3110543030309733,0.3899833540424424,0.36896609498094574
12.0,0.3123047318358401,0.39404866342033396,0.37048245800558793
12.5,0.31345900566507934,0.39464178406515504,0.3720180456273091
13.0,0.3145069921984718,0.39523490470997613,0.3735714257843038
13.5,0.31546454218629927,0.3993002140878678,0.3751412855467201
14.0,0.3163497587795001,0.40121959281336755,0.3767264265942786
14.5,0.31714240537716964,0.4018127134581886,0.3783258258443216
15.0,0.317871901611786,0.40181271345818864,0.37993857613535587
15.5,0.3185246825161586,0.40217928217611737,0.38156415126413223
16.0,0.31911968809952584,0.40587802283608027,0.38320181354421134
16.5,0.31966101895272336,0.4052849021912591,0.3848494240793239
17.0,0.32015020613909145,0.40587802283608027,0.3865071127269683
17.5,0.3205830484536873,0.4046917815464381,0.3881742131895441
18.0,0.32099315405150364,0.40971678028707953,0.3898501234831089
18.5,0.32135212022629633,0.40971678028707953,0.391534219292365
19.0,0.3216444514282206,0.4087570909243297,0.39322637842573016
19.5,0.32192064249275665,0.41533489967254217,0.39492577860186373
20.0,0.3221696718253184,0.41652114096218434,0.3966318509962903
