beta,log_norm,w_crit,log_Z
0.5,0.235746731662222,0.2603465578036935,0.3618859381337824
1.0,0.32599225220300043,0.33950681470913496,0.4045843385438078
1.5,0.3783597763953951,0.38244585593148006,0.46762613211583626
2.0,0.4110578357280259,0.40935021156915086,0.5442680680772323
2.5,0.432614544824072,0.4271642590882884,0.6296779042843902
3.0,0.4475370986667748,0.4391336352950711,0.7207635779719457
3.5,0.45832331902559775,0.44822394341360433,0.8156088271917967
4.0,0.46641478830752736,0.4550109970615378,0.9130200010170191
4.5,0.4726783137431989,0.4600813061875578,1.0122375340434813
5.0,0.47765646809008877,0.46426091293762095,1.1127645878278607
5.5,0.48169975661157016,0.4676393202250021,1.214266560841315
6.0,0.48504578143859667,0.47039466852489276,1.316511696156162
6.5,0.4878587735883022,0.47294901687515767,1.4193352110007877
7.0,0.49025564341610806,0.47485291572496,1.522617121911088
7.5,0.4923218045017581,0.4765558146251367,1.6262681628529325
8.0,0.49412095934103917,0.47821692767189994,1.730220691964354
8.5,0.49570152943202195,0.479610129921921,1.8344225037418191
9.0,0.49710098215428844,0.48047117626563685,1.938832726813282
9.5,0.4983488150969664,0.4818643785156579,2.0434188950502197
10.0,0.4994683371490365,0.48272542485937364,2.1481549678135017
10.5,0.5004783511992681,0.4836962345562926,2.2530197126944973
11.0,0.5013943316821239,0.48431618792376796,2.3579957739445954
11.5,0.5022287830460912,0.4849361412912434,2.4630686947431233
12.0,0.5029921747512924,0.48555609465871874,2.5682264799799395
12.5,0.5036933019950696,0.48632239916379827,2.6734589447572747
13.0,0.5043394815087421,0.4865592002787339,2.7787575447546233
13.5,0.504937133340726,0.48717915364620934,2.884114893668883
14.0,0.5054913933824001,0.48756230589874905,2.989524748780888
14.5,0.5060070500685212,0.4881822592662245,3.094981617716223
15.0,0.5064879539345721,0.4885654115187642,3.2004808096239303
15.5,0.5069375301242323,0.48880221263369983,3.306018241562838
16.0,0.5073589046575817,0.4891853648862396,3.411590246195252
16.5,0.5077546521520366,0.48956851713877936,3.5171936821919
17.0,0.5081270330865406,0.489805318253715,3.622825782462537
17.5,0.5084782251467876,0.49018847050625475,3.7284839939798067
18.0,0.5088099508937347,0.4905716227587945,3.8341661392630018
18.5,0.5091237740827479,0.49100813061875576,3.9398702440717708
19.0,0.5094213929209968,0.49100813061875576,4.045594578951103
19.5,0.5097038344855926,0.4913525491562421,4.151337478340315
20.0,0.5099724045440706,0.4913525491562421,4.2570975482785105
