L,det_minus,det_plus,det_plus_approx
100,8064.842655924779,4483.852175960819,13.975551422795395
200,7380.711567817796,3908.407067793379,11.76225097175275
300,6993.344117896405,3626.0214747853533,10.88686201297061
400,6700.575778283797,3434.8113703496642,10.377684200125897
500,6493.169480242268,3304.563834807282,10.049485232228498
600,6300.983604923331,3192.3612979039654,9.796462216354364
700,6176.960184042576,3118.478235440931,9.62286986070382
800,6060.125697453103,3052.1314075850723,9.478195714431564
900,5999.857417539176,3014.563535509285,9.38296529731001
1000,5893.087862454806,2957.7914258387736,9.27266498394599
1100,5838.590148907303,2926.3344373363266,9.201084374502532
1200,5740.913811699058,2876.720758107058,9.112433634241267
1300,5691.213091492291,2849.5174203004885,9.055384640634196
1400,5643.21255080445,2823.827650424983,9.00351434920187
1500,5596.77994532457,2799.4563910876745,8.955953614863681
1600,5551.818703491855,2776.261289063149,8.912067647668664
1700,5508.254353501582,2754.1346938839724,8.871380354091093
1800,5504.699177628081,2749.7745380911656,8.853164893002802
1900,5462.627593057255,2728.9222660089945,8.81675127296551
2000,5421.950056756329,2708.9940949967286,8.782703567170742
