β,logZ
0.1,0.5001126636302459
0.2,0.50045009353697
0.30000000000000004,0.5010106220058519
0.4,0.501791519294835
0.5,0.5027890648887926
0.6000000000000001,0.5039986408461814
0.7000000000000001,0.5054148417227188
0.8,0.5070315950926295
0.9000000000000001,0.5088422867635113
1.0,0.5108398853226255
1.1,0.513017061520703
1.2,0.5153662990265208
1.3,0.5178799941688094
1.4,0.5205505432744761
1.5,0.5233704170837356
1.6,0.5263322224019578
1.7000000000000002,0.5294287516669072
1.8,0.5326530214350994
1.9000000000000001,0.535998300997587
2.0,0.539458132407177
2.1,0.5430263432021682
2.1999999999999997,0.5466970530400685
2.3000000000000003,0.550464675361322
2.4,0.5543239150796919
2.5,0.5582697631671241
2.6,0.5622974888820075
2.7,0.5664026302621303
2.8,0.570580983404334
2.9,0.5748285909533247
2.9999999999999996,0.5791417301397698
3.1,0.5835169006373251
3.2,0.5879508124510654
3.3000000000000003,0.5924403739910628
3.4,0.5969826804599863
3.5,0.6015750026333516
3.6,0.6062147760967421
3.7,0.6108995909752885
3.8000000000000003,0.6156271821828501
3.9,0.6203954201898693
4.0,0.6252023023211088
4.1000000000000005,0.6300459445674879
4.2,0.6349245738934094
4.3,0.6398365210357975
4.4,0.6447802137601901
4.5,0.649754170561439
4.6,0.6547569947776186
4.699999999999999,0.6597873691003804
4.8,0.6648440504600521
4.9,0.6699258652477477
5.0,0.6750317048788207
5.1000000000000005,0.6801605216422614
5.2,0.685311324855763
5.3,0.6904831772631339
5.4,0.6956751916962811
5.5,0.7008865279575376
5.6,0.7061163899140027
5.7,0.7113640227988026
5.8,0.7166287106839908
5.8999999999999995,0.7219097741378415
6.0,0.7272065680278982
6.1,0.7325184794800051
6.199999999999999,0.7378449259697336
6.300000000000001,0.7431853535442949
6.3999999999999995,0.7485392351572562
6.500000000000001,0.7539060691161165
6.6,0.7592853776328627
6.699999999999999,0.7646767054632225
6.800000000000001,0.7700796186395041
6.8999999999999995,0.7754937032809609
7.000000000000001,0.7809185644820417
7.1000000000000005,0.7863538252674515
7.199999999999999,0.791799125620295
7.300000000000001,0.7972541215626822
7.4,0.8027184842983203
7.5,0.8081918994047033
7.6000000000000005,0.8136740660792943
7.699999999999999,0.8191646964241577
7.8,0.8246635147813932
7.9,0.8301702571051599
8.0,0.8356846703850884
8.1,0.8412065124200506
8.2,0.8467355539759578
8.3,0.8522715958356339
8.4,0.8578145326164544
8.5,0.8633644406075067
8.6,0.8689225271942081
8.7,0.8744945869586391
8.799999999999999,0.8801073624569726
8.9,0.8858857646255143
9.0,0.8919558158628558
9.1,0.898976064067981
9.2,0.9086788361322348
9.299999999999999,0.924945566750696
9.4,0.9517630548083299
9.5,1.0079920627877736
9.6,1.0173184731071487
9.700000000000001,1.026683920613472
9.799999999999999,1.0360867828422529
9.9,1.0455255110004897
10.0,1.0549986262269895
