β,logZ
0.1,0.5004500935379014
0.2,0.5017915193125541
0.30000000000000004,0.5039986409339842
0.4,0.5070315953620997
0.5,0.5108398859574849
0.6000000000000001,0.5153663002908051
0.7000000000000001,0.5205505455161047
0.8,0.526332226050618
0.9000000000000001,0.5326530270021146
1.0,0.5394581404801813
1.1,0.54669706428053
1.2,0.5543239302196172
1.3,0.5622975087217668
1.4,0.5705810088100042
1.5,0.5791417620405744
1.6,0.5879508518409897
1.7000000000000002,0.5969827283949178
1.8,0.6062148336952216
1.9000000000000001,0.6156272506254807
2.0,0.6252023828469034
2.1,0.6349246678069532
2.1999999999999997,0.644780322427303
2.3000000000000003,0.654757119619686
2.4,0.6648441929680675
2.5,0.6750318666019111
2.6,0.6853115074071912
2.7,0.6956753967518208
2.8,0.7061166192080608
2.9,0.7166289660172148
2.9999999999999996,0.7272068512624771
3.1,0.7378452390284831
3.2,0.7485395800286296
3.3000000000000003,0.7592857563665105
3.4,0.770080033352122
3.5,0.7809190173516681
3.6,0.7917996188851372
3.7,0.80271902026072
3.8000000000000003,0.8136746471093861
3.9,0.8246641433092248
4.0,0.835685348884627
4.1000000000000005,0.8467362804411521
4.2,0.8578151138694299
4.3,0.8689201689512298
4.4,0.8800498957355923
4.5,0.8912028623388055
4.6,0.9023777441213243
4.699999999999999,0.9135733139696325
4.8,0.9247884336237479
4.9,0.9360220458832504
5.0,0.9472731676110977
5.1000000000000005,0.9585408834423874
5.2,0.9698243401131015
5.3,0.9811227413415217
5.4,0.992435343193922
5.5,1.0037614499032328
5.6,1.015100410064168
5.7,1.0264516131916976
5.8,1.0378144865697625
5.8999999999999995,1.0491884924336388
6.0,1.060573125326988
6.1,1.0719679097459887
6.199999999999999,1.0833723979748038
6.300000000000001,1.0947861680865225
6.3999999999999995,1.1062088221383966
6.500000000000001,1.117639984486353
6.6,1.1290793002670907
6.699999999999999,1.140526433993627
6.800000000000001,1.1519810682252374
6.8999999999999995,1.1634429024226376
7.000000000000001,1.1749116518068656
7.1000000000000005,1.1863870463713975
7.199999999999999,1.1978688299132887
7.300000000000001,1.2093567591954142
7.4,1.2208506031115551
7.5,1.2323501419691212
7.6000000000000005,1.2438551667821727
7.699999999999999,1.2553654786108188
7.8,1.2668808880163043
7.9,1.278401214457667
8.0,1.2899262857876723
8.1,1.3014559377834711
8.2,1.3129900136937986
8.3,1.324528363812198
8.4,1.336070845087688
8.5,1.3476173207711213
8.6,1.3591676600631681
8.7,1.370721737798602
8.799999999999999,1.3822794341394413
8.9,1.3938406342999776
9.0,1.405405228303352
9.1,1.4169731106974297
9.2,1.428544180343709
9.299999999999999,1.4401183402043396
9.4,1.451695497120541
9.5,1.463275561648985
9.6,1.4748584478406148
9.700000000000001,1.4864440731048882
9.799999999999999,1.4980323580303143
9.9,1.509623226227447
10.0,1.521216604228415
