β,logZ
0.1,0.5001126636302459
0.2,0.5004500935369682
0.30000000000000004,0.5010106220058527
0.4,0.5017915192948331
0.5,0.5027890648887936
0.6000000000000001,0.5039986408461984
0.7000000000000001,0.5054148417227333
0.8,0.5070315950926373
0.9000000000000001,0.5088422867635058
1.0,0.5108398853226379
1.1,0.5130170615207342
1.2,0.515366299026502
1.3,0.5178799941688563
1.4,0.5205505432745897
1.5,0.5233704170836984
1.6,0.5263322224019494
1.7000000000000002,0.5294287516668397
1.8,0.532653021435167
1.9000000000000001,0.5359983009974115
2.0,0.5394581324072666
2.1,0.5430263432021675
2.1999999999999997,0.5466970530401394
2.3000000000000003,0.5504646753612885
2.4,0.5543239150795685
2.5,0.5582697631670376
2.6,0.5622974888821612
2.7,0.566402630262256
2.8,0.5705809834042789
2.9,0.5748285909533594
2.9999999999999996,0.5791417301397761
3.1,0.5835169006374314
3.2,0.5879508124511301
3.3000000000000003,0.5924403739911513
3.4,0.5969826804597795
3.5,0.6015750026333172
3.6,0.6062147760968144
3.7,0.6108995909756564
3.8000000000000003,0.6156271821831026
3.9,0.6203954201896241
4.0,0.6252023023214266
4.1000000000000005,0.6300459445672676
4.2,0.634924573893282
4.3,0.6398365210353272
4.4,0.6447802137604982
4.5,0.6497541705613012
4.6,0.6547569947773095
4.699999999999999,0.659787369101276
4.8,0.664844050459837
4.9,0.6699258652483657
5.0,0.6750317048786911
5.1000000000000005,0.6801605216424662
5.2,0.6853113248554185
5.3,0.690483177263511
5.4,0.695675191696532
5.5,0.7008865279574412
5.6,0.7061163899142647
5.7,0.7113640227978921
5.8,0.7166287106844779
5.8999999999999995,0.7219097741383484
6.0,0.7272065680280478
6.1,0.7325184794798503
6.199999999999999,0.7378449259700307
6.300000000000001,0.7431853535440696
6.3999999999999995,0.7485392351569745
6.500000000000001,0.7539060691152977
6.6,0.7592853776325805
6.699999999999999,0.76467670546308
6.800000000000001,0.7700796186399411
6.8999999999999995,0.7754937032815199
7.000000000000001,0.7809185644814629
7.1000000000000005,0.7863538252674208
7.199999999999999,0.7917991256203316
7.300000000000001,0.7972541215630768
7.4,0.8027184842983669
7.5,0.8081918994044031
7.6000000000000005,0.8136740660793708
7.699999999999999,0.8191646964238298
7.8,0.8246635147816277
7.9,0.8301702571048607
8.0,0.8356846703650798
8.1,0.841206511996074
8.2,0.846735549373562
8.3,0.8522715593176127
8.4,0.8578143276296337
8.5,0.8633636486516255
8.6,0.8689193248562271
8.7,0.8744811664574658
8.799999999999999,0.8800489910338294
8.9,0.8856226231899074
9.0,0.8912018942203838
9.1,0.8967866418064051
9.2,0.9023767097099282
9.299999999999999,0.9079719475099466
9.4,0.9135722103268208
9.5,0.9191773585790776
9.6,0.9247872577449314
9.700000000000001,0.9304017781400215
9.799999999999999,0.9360207946992166
9.9,0.9416441867876786
10.0,0.9472718379919831
