L,det_minus,det_plus,det_plus_approx
100,12.230596830277145,0.8241192309631946,0.37679251557419813
200,12.158786874283244,0.512753917262266,0.2298793205733546
300,12.125023726941468,0.3877531790940714,0.17245325966963998
400,12.10690635717349,0.3143181211022446,0.13920110126280807
500,12.092785809235597,0.2687458039949972,0.11864037018931113
600,12.083283815006046,0.2352683091326661,0.10363232884681275
700,12.07601913141905,0.2100064650074434,0.09234606227678759
800,12.069264011793988,0.19123198934497165,0.08395697324128563
900,12.064320080212234,0.17539324336842474,0.07690994444074685
1000,12.059578287195217,0.16290201726620548,0.07134922509493064
1100,12.056236730855673,0.15163664515400438,0.06635768588681352
1200,12.05303706767069,0.14230156451238782,0.06222071614726929
1300,12.049975571860006,0.13445617884134756,0.05874300052837089
1400,12.048042922034613,0.12682227372824642,0.055377768599637785
1500,12.045199373010398,0.12113714692478973,0.05285483560633116
1600,12.043401950270411,0.11533997013369339,0.050299576207531525
1700,12.041655932303279,0.11024444814133573,0.04805327518401937
1800,12.039960593873632,0.1057345988332765,0.04606481853464287
1900,12.038315237581603,0.1017187313320941,0.0442938046818274
2000,12.036719126229928,0.09812340425524808,0.04270787843154886
