L,det_minus,det_plus,det_plus_approx
100,4.339079312742315,0.0049013726914710455,0.0026902982505726675
200,4.3401202756144,0.00039579515202316424,0.002886064896167114
300,4.340831806831659,0.00019251947545769035,0.002263493696588057
400,4.341355773522064,0.0003421393431374675,0.0018441158583193842
500,4.341754928450335,0.000377371628076439,0.0015518868732845022
600,4.342092489005752,0.00038201224261778934,0.0013430360771289746
700,4.342359707486411,0.0003693425427900121,0.0011820273279171747
800,4.342586202400033,0.0003526635687065309,0.0010559602583327889
900,4.342813521097223,0.00033950811803447307,0.0009577465540018306
1000,4.342949286020065,0.00031774605763900434,0.0008709240214583133
1100,4.34313149390934,0.00030491567547480554,0.0008035209825869638
1200,4.343264338263915,0.0002894939769076967,0.0007438817002234701
1300,4.34334326982191,0.00027204518828204333,0.0006901954561334816
1400,4.343474453586332,0.0002610891023130959,0.0006471003006670019
1500,4.343550251796889,0.0002477820476221687,0.0006069623285427548
1600,4.343624792165578,0.0002361109698472727,0.0005718200480713876
1700,4.343698475546815,0.0002257930094655789,0.0005407962666392282
1800,4.343771617204358,0.00021660694474010512,0.0005132078028188999
1900,4.343844469427152,0.00020837727294384888,0.0004885146600803602
2000,4.34391723735817,0.00020096298503166721,0.00046628438286525125
