beta,log_purity,log_Z
0.5,0.31918750982927274,0.3618859406792695
1.0,0.26490049406025806,0.4045843461989725
1.5,0.2144883669610762,0.4676261463415836
2.0,0.1755154231816175,0.5442680970165024
2.5,0.14658985124491553,0.6296779647038784
3.0,0.125013121674719,0.7207636977494354
3.5,0.10859684693290128,0.8156090453819249
4.0,0.09581381704434788,0.9130203655666513
4.5,0.08563456781011936,1.012238113394309
5.0,0.07736355154909447,1.112765444905468
5.5,0.07052317380752715,1.2142677766381809
6.0,0.06477852189757893,1.3165133619334846
6.5,0.05988950735759202,1.4193374283064921
7.0,0.05568031876027035,1.522620002646462
7.5,0.05201964210567844,1.6262718443507143
8.0,0.04880761209373086,1.7302252929500352
8.5,0.04596702947104214,1.8344281675136729
9.0,0.04343733056913379,1.9388396072245815
9.5,0.041170366635130407,2.043427175569878
10.0,0.039127396282412796,2.1481648052323417
10.5,0.03727690634636183,2.253031313811353
11.0,0.03559300846150393,2.35800931450314
11.5,0.03405424240941457,2.4630844048480895
12.0,0.032642671307616666,2.5682445544068244
12.5,0.03134318918803203,2.673479636865693
13.0,0.03014298519870362,2.7787810684355474
13.5,0.029031124726440538,2.8841415254674043
14.0,0.02799821880568043,2.9895547217948653
14.5,0.027036160887909944,3.0950152315935053
15.0,0.02613791552871536,3.2005183472795324
15.5,0.02529734744655876,3.306059964632343
16.0,0.02450908224736459,3.411636489250945
16.5,0.023768392195396615,3.517244759871166
17.0,0.02307110192767503,3.622881985101303
17.5,0.02241351017808757,3.728545690920678
18.0,0.02179232442630674,3.834233676864784
18.5,0.021204606054754827,3.9399439792672397
19.0,0.02064772409472937,4.045674840268573
19.5,0.020119316034076462,4.151424681563739
20.0,0.019617254460600364,4.257192082064808
