beta,log_purity,log_Z
0.5,0.34593968466463837,0.34689785223623576
1.0,0.3442167073812832,0.34785602293157386
1.5,0.34179721180987455,0.3494077219733005
2.0,0.33905762916076404,0.3514953509769357
2.5,0.3362582159501435,0.3540538081007943
3.0,0.3335486553279898,0.3570182602503962
3.5,0.33100295313447126,0.3603289043254896
4.0,0.328650074212368,0.3639331227723522
4.5,0.3264942983356719,0.36778592626601836
5.0,0.32452736213113176,0.3718494783431937
5.5,0.3227353120293049,0.37609223218827276
6.0,0.32110222368026947,0.3804879776236449
6.5,0.3196121371235494,0.38501494291291793
7.0,0.3182499996722455,0.3896550085729398
7.5,0.31700206791011326,0.39439304572938694
8.0,0.3158560222646914,0.39921637124054915
8.5,0.31480093505601525,0.40411430422624744
9.0,0.31382716952946443,0.4090778072025764
9.5,0.31292625183421485,0.414099196260613
10.0,0.3120907380360811,0.4191719069052855
10.5,0.31131408722303244,0.42429030448949967
11.0,0.31059054567311484,0.42944953028677885
11.5,0.30991504378786294,0.43464537604603215
12.0,0.309283105775629,0.4398741813416902
12.5,0.30869077124397337,0.4451327492176756
13.0,0.3081345275015148,0.4504182765575272
13.5,0.3076112512914456,0.4557282963576024
14.0,0.30711815870383574,0.4610606296547214
14.5,0.30665276213481796,0.46641334532199147
15.0,0.30621283327505056,0.4717847263005607
15.5,0.3057963712486619,0.47717324112037474
16.0,0.3054015751409096,0.48257751978399865
16.5,0.30502682026949535,0.48799633326699965
17.0,0.3046706376430146,0.4934285760246918
17.5,0.3043316961445457,0.49887325101178737
18.0,0.3040087870423085,0.5043294568089801
18.5,0.303700810489397,0.5097963765201724
19.0,0.30340676373728614,0.5152732681697959
19.5,0.3031257308130604,0.5207594563670993
20.0,0.3028568734637185,0.526254325051076
