beta,log_purity,log_Z
0.5,0.3429264187515999,0.34850682548301426
1.0,0.3342505626623364,0.3540872376132776
1.5,0.3241149764416738,0.3627727559520638
2.0,0.31449049438280974,0.37392393415925207
2.5,0.3060297843082531,0.3869631958831271
3.0,0.29879952967193735,0.4014305840502777
3.5,0.29266821145458444,0.416980197872745
4.0,0.28746147492721186,0.43335746031246425
4.5,0.28301578321565934,0.45037559776092384
5.0,0.27919291242362543,0.46789674241914647
5.5,0.2758806143619781,0.4858180478654779
6.0,0.27298908508422537,0.5040618327690638
6.5,0.2704467206793134,0.5225686565230804
7.0,0.26819629634669007,0.5412924488050027
7.5,0.266191839687149,0.5601970596298769
8.0,0.2643961717611548,0.579253791179429
8.5,0.2627790055342063,0.5984396119845012
9.0,0.2613154837260969,0.6177358495487395
9.5,0.2599850543413873,0.637127221939742
10.0,0.2587706029518435,0.6566011122110726
10.5,0.25765777960888436,0.6761470187512624
11.0,0.2566344734914443,0.6957561345115457
11.5,0.2556904001151741,0.7154210216743834
12.0,0.25481677474816045,0.7351353577344514
12.5,0.254006052249925,0.7548937355512033
13.0,0.25325171841622685,0.7746915045767709
13.5,0.25254812152749784,0.7945246437821015
14.0,0.2518903354873472,0.8143896591935522
14.5,0.2512740479436444,0.8342835006934936
15.0,0.2506954682924518,0.854203494013666
15.5,0.2501512516111697,0.8741472848011522
16.0,0.24963843541675135,0.8941127923394956
16.5,0.24915438682348623,0.9140981710455595
17.0,0.2486967581721471,0.9341017782666767
17.5,0.24826344959667157,0.954122147210418
18.0,0.24785257730691201,0.9741579640824947
18.5,0.2474624465969728,0.9942080486902312
19.0,0.24709152878372453,1.0142713379168002
19.5,0.24673844142802093,1.0343468715829913
20.0,0.24640193130449006,1.054433780304908
