weight,saddle_1R2,pf_minus_1R2,pf_plus_1R2,p_1R2,entropy
0.0,4.702374068391219,7.918511763616264e6,3.8412192389785056e6,0.3266417606092304,0
0.02,4.672051602510066,7.803907412465363e6,4.03247340116328e6,0.3406846623691095,0.14144054254182067
0.04,4.645141498106906,7.701455986358457e6,4.21039153433926e6,0.3534625109180917,0.24229218908241482
0.06,4.621169258536438,7.609482142745004e6,4.376060114429419e6,0.3651115669639356,0.32744491915447627
0.08,4.5997514046266925,7.526638346845112e6,4.530426684203109e6,0.3757487143460519,0.4021791902022728
0.1,4.580571540949628,7.451813453801346e6,4.6743289503792655e6,0.38547534694691876,0.4689955935892812
0.12,4.563363838282342,7.384069894888706e6,4.808515679673625e6,0.3943803100882672,0.5293608652873644
0.14,4.329720220204077,7.269892958379503e6,4.875700170204147e6,0.40143779876254776,0.584238811642856
0.16,4.315562158127787,7.213673897734841e6,4.989632630587213e6,0.4088754649411633,0.6343095546405662
0.18,4.302772203799209,7.162220447938747e6,5.096029209653817e6,0.41572241975814367,0.6800770457282798
0.2,4.291202272165027,7.114977928365939e6,5.195366241627989e6,0.42203257438500613,0.7219280948873623
0.22,4.280720467853621,7.07143910163043e6,5.288082253635337e6,0.4278549388469928,0.7601675029619657
0.24,4.27120866062769,7.031136049467004e6,5.374581417942789e6,0.43323422704587483,0.7950402793845223
0.26,4.262560586880044,6.993633994693553e6,5.455236393941017e6,0.43821135762819713,0.8267463724926178
0.28,4.254680332599527,6.958526504271338e6,5.5303906996767875e6,0.44282387410883495,0.8554508105601306
0.3,4.247481094430715,6.92543167249322e6,5.6003607109667035e6,0.44710630190245493,0.8812908992306927
0.32,4.240884144633014,6.893988999213963e6,5.665437357787753e6,0.45109045562652994,0.9043814577244939
0.34,4.2348179465813445,6.86385676036606e6,5.725887568429341e6,0.4548057068429125,0.9248187049730301
0.36,4.229217382396854,6.8347097266236115e6,5.781955498824828e6,0.45827922002418964,0.9426831892554922
0.38,4.2240230650416715,6.806237127805226e6,5.833863575545854e6,0.46153616276167875,0.9580420222262995
0.4,4.219180714939592,6.778140790240964e6,5.88181337478439e6,0.4645998949217058,0.9709505944546686
0.42,4.214640586736948,6.750133395275578e6,5.9259863553562295e6,0.4674921404920354,0.9814538950336535
0.44,4.210356935803182,6.721936821801752e6,5.966544460744452e6,0.4702331451559774,0.9895875212220556
0.46,4.2062875169296445,6.693280545983781e6,6.0036306030711075e6,0.4728418221244303,0.9953784388202257
0.48,4.2023931097409415,6.663900078425534e6,6.03736904038827e6,0.4753358883991674,0.9988455359952018
0.5,4.19863706682104,6.633535423888699e6,6.067865657661906e6,0.4777319933999858,1.0
0.52,4.194984881652909,6.601929551949846e6,6.095208161190035e6,0.4800458417397718,0.9988455359952018
0.54,4.191403774299506,6.568826869165722e6,6.119466195886722e6,0.48229231185884724,0.9953784388202257
0.56,4.187862293413783,6.533971684740705e6,6.140691394852361e6,0.4844855722231564,0.9895875212220556
0.58,4.184329933724886,6.497106662583677e6,6.158917370919188e6,0.48663919684534257,0.9814538950336537
0.6,4.180776768663552,6.457971253157649e6,6.174159660407139e6,0.488766282003706,0.9709505944546686
0.62,4.177173098304144,6.41630009875175e6,6.186415630147904e6,0.4908795662161652,0.9580420222262995
0.64,4.1734891133523115,6.371821405771354e6,6.195664359931271e6,0.49299155578433895,0.9426831892554922
0.66,4.169694576531635,6.32425527734598e6,6.201866513908803e6,0.49511465857203213,0.92481870497303
0.68,4.165758523454117,6.273311998913146e6,6.2049642161346935e6,0.4972613291451254,0.9043814577244937
0.7,4.161648985942517,6.218690268346861e6,6.204880947343558e6,0.4994442290077646,0.8812908992306927
0.72,4.157332741849498,6.160075360416871e6,6.201521482198082e6,0.501676406467097,0.8554508105601306
0.74,4.152775096760292,6.097137212616762e6,6.194771888586021e6,0.5039715017075626,0.8267463724926178
0.76,4.1479397046451485,6.029528415162765e6,6.184499612988254e6,0.5063439840431145,0.7950402793845223
0.78,4.142788436657548,5.956882081548345e6,6.170553678378873e6,0.5088094301656317,0.7601675029619656
0.8,4.13728131000422,5.878809566376473e6,6.1527650233691875e6,0.5113848546983287,0.7219280948873623
0.82,4.131376492338829,5.794897982643046e6,6.130947013043113e6,0.5140891077538583,0.6800770457282799
0.84,4.12503040174905,5.704707448814292e6,6.104896152736144e6,0.5169433588723211,0.6343095546405662
0.86,4.1181979285100985,5.607767963136465e6,6.074393035120468e6,0.5199716932532271,0.584238811642856
0.88,4.1108328129578435,5.503575752834657e6,6.039203547277237e6,0.5232018554854198,0.5293608652873644
0.9,4.102888224948907,5.391588869945038e6,5.999080356149575e6,0.5266661894111037,0.4689955935892811
0.92,4.094317605726767,5.27122168858538e6,5.953764674988917e6,0.5304028425646212,0.40217919020227266
0.94,4.085075854627375,5.141837775905086e6,5.902988285366659e6,0.5344573334717564,0.32744491915447643
0.96,4.281744578411121,5.051255807394763e6,5.835901928008349e6,0.5360353978367584,0.24229218908241493
0.98,4.268832505315677,4.896219541166767e6,5.763755733526786e6,0.5406912853925432,0.14144054254182076
1.0,4.254886472307527,4.7292665085551925e6,5.684521770507859e6,0.5458649262090919,0
