weight,saddle,pf_minus,pf_plus,p_plus,entropy
0.0,2.043359541143332,4.496120951937506,1.498339989860944e-8,3.332517076129865e-9,0
0.02,1.7786028928557909,4.487669640169076,0.0021384646301253096,0.00047629310211264557,0.14144054254182067
0.04,1.5739987386961407,4.4699178370720105,0.005916205112707792,0.0013218106518131775,0.24229218908241482
0.06,1.3921711125057297,4.450219616096006,0.010835935285947684,0.0024290070278526143,0.32744491915447627
0.08,1.2251625912822954,4.430604116741454,0.016681323188580517,0.003750900052154725,0.4021791902022728
0.1,1.0691946011901847,4.411692170600838,0.02331560269773195,0.005257172904657797,0.4689955935892812
0.12,0.9220416683187908,4.397407510128946,0.030651130432947277,0.006922024508026353,0.5293608652873644
0.14,0.7822348699015697,4.382579168276314,0.038625601058583675,0.008736442457152759,0.584238811642856
0.16,0.6487249730748296,4.368257422909533,0.04719004210065986,0.010687488068788727,0.6343095546405662
0.18,0.5207262880818022,4.3550403877694075,0.056304571001674124,0.012763583788595741,0.6800770457282798
0.2,0.3976290383280477,4.342525757121974,0.06593620043595003,0.01495673572115285,0.7219280948873623
0.22,0.2789445465466897,4.330498681434478,0.07605672786287777,0.017259905027497507,0.7601675029619657
0.24,0.16427248855347484,4.319022360784864,0.0866415898766822,0.019665955199254875,0.7950402793845223
0.26,0.053278904553948694,4.308106301580285,0.09766919500667039,0.022168445732727936,0.8267463724926178
0.28,-0.0543191761394765,4.29773251981643,0.10912034194433898,0.0247615124369593,0.8554508105601306
0.3,-0.15876467517586096,4.28787135679258,0.12097778338469616,0.027439764786288814,0.8812908992306927
0.32,-0.260268482650931,4.27850481071443,0.1332259207074296,0.030198107912286873,0.9043814577244939
0.34,-0.3590154430527869,4.26962428223835,0.14585058751080654,0.03303168782819781,0.9248187049730301
0.36,-0.4551688986503137,4.261199625450413,0.15883879916521107,0.03593606749674898,0.9426831892554922
0.38,-0.5488742707995865,4.2532111188193324,0.17217865271386248,0.03890700290885575,0.9580420222262995
0.4,-0.6402618594676578,4.245647294339949,0.18585924404327173,0.04194041968198926,0.9709505944546686
0.42,-0.7294490568182046,4.238477958489679,0.19987043955257922,0.04503261610574363,0.9814538950336535
0.44,-0.8165421844300248,4.231682102300113,0.21420291048636617,0.0481800383658851,0.9895875212220556
0.46,-0.9016379650737518,4.225238375287806,0.22884803447044763,0.05137934324064188,0.9953784388202257
0.48,-0.9848247450872171,4.219125114836791,0.24379784097271387,0.05462739182072498,0.9988455359952018
0.5,-1.0661835187084756,4.213327177548063,0.2590450672812871,0.05792117764364925,1.0
0.52,-1.1457887572835022,4.20780837530449,0.2745827236272628,0.06125809139963303,0.9988455359952018
0.54,-1.2237091766817791,4.20255959199516,0.2904047624375203,0.06463544767521069,0.9953784388202257
0.56,-1.3000083092421917,4.197551435322893,0.30650532617026355,0.06805094660233652,0.9895875212220556
