β,sre,pf_minus_α,pf_plus_α,pf_minus_1,pf_plus_1
0.1,0.0002245796474169559,4.004999480686317,3.081488073447236e-31,2.0012471517597814,0.0012453403399567192
0.2,0.0008884020339114951,4.01999176329243,3.081488560729469e-31,2.0049551853357017,0.0049267348072977845
0.30000000000000004,0.0019630094606803983,4.044958904689769,3.081489372864059e-31,2.011029183607765,0.010889399265340865
0.4,0.0034049139214094026,4.0798727385983415,3.0814905098470537e-31,2.0193269430754617,0.018902490455539264
0.5,0.005160408931611293,4.124697332773544,3.0814919716731225e-31,2.029677575930417,0.0286904740292543
0.6000000000000001,0.007170615821673554,4.179392149357143,3.886594848200854e-70,2.0418997055285217,0.03996348113476055
0.7000000000000001,0.009375920888699874,4.243915676525605,1.0605928521411202e-68,2.055815972391032,0.05244112387940383
0.8,0.01171935126642687,4.318229289844466,3.7966676960616517e-69,2.071262665458636,0.06586781368863366
0.9000000000000001,0.014148797701436733,4.402301118650014,8.001813918725139e-68,2.088094844943588,0.08002036555171373
1.0,0.016618223265689513,4.496109728581147,2.601576092831238e-68,2.1061880351608533,0.09470992768799656
1.1,0.01908809519681065,4.599647479058532,8.877591599198133e-69,2.125437777832693,0.10978030708628427
1.2,0.021525284218408602,4.712923464866025,3.384145307723249e-69,2.1457579323884746,0.12510449888161668
1.3,0.023902637410394334,4.835965998281552,1.005181394943071e-67,2.1670785306476006,0.14058047666596665
1.4,0.026198378870391004,4.968824627699862,6.94287738764547e-68,2.1893435515924935,0.15612698484483145
1.5,0.028395443938104004,5.111571718584261,8.45743420997328e-68,2.212508529880249,0.1716799679227063
1.6,0.03048081408565184,5.264303642624113,3.973275653336784e-69,2.2365392687939467,0.1871887332742735
1.7000000000000002,0.03244489155527841,5.427141632221454,1.3656819808309137e-69,2.2614107251793403,0.2026127435070108
1.8,0.034280933349071896,5.600232361602947,1.1623667478809446e-68,2.2871027996272004,0.21792187737426502
1.9000000000000001,0.035984552893177923,5.783748314801237,1.0252653420986279e-64,2.3136030860768653,0.23309114669924674
2.0,0.037553288783723326,5.977887996465557,2.1410613223710587e-66,2.3409012269674987,0.24810339134466364
2.1,0.03898623796043177,6.182876034523575,1.2350873736112443e-66,2.368997645769815,0.2629397671421324
2.1999999999999997,0.04028374626699449,6.398963217571426,1.229096881559488e-66,2.397896027869568,0.2775849312338999
2.3000000000000003,-8.365821318393927,6.6264265013100605,7.914142739326741e-69,2.4275922725586194,0.2920354422734047
2.4,0.04247855265056133,6.865569012508274,6.291618848958803e-69,2.458096919951074,0.30627927776769626
2.5,-8.004286503282637,7.116720072605501,3.165672993981678e-65,2.48941545651618,0.3203122287240657
2.6,0.044156657621440276,7.3802352579426085,5.0959660040633346e-67,2.5215595932210797,0.3341275219210029
2.7,0.04481002123807687,7.656496508813557,4.191852752910161e-67,2.554565946272685,0.3476995101746106
2.8,-7.535037239884583,7.945912297278098,2.2893345072482364e-63,2.5884381361797555,0.361032851262641
2.9,0.04576396946444161,8.248917859854378,6.563713916952315e-67,2.6231697138484567,0.3741421922832613
2.9999999999999996,0.046072464797767054,8.565975498291413,3.580863510379646e-69,2.6588476674091828,0.38696474843943157
3.1,0.0462740268237094,8.897574953540197,3.0535861585080087e-68,2.6954387091505345,0.3995406403887745
3.2,0.04637273165258282,9.244233852112972,1.5721181178553416e-67,2.7329930629977013,0.41184077251689266
3.3000000000000003,0.04637264036035038,9.60649822684769,1.4125456675779713e-22,2.7715449001291854,0.4238508294103238
3.4,0.0462777797187961,9.98494311200282,5.640342503579891e-23,2.8111305221807594,0.4355558856869594
3.5,0.04609212592177214,10.380173212599784,1.8758461457577213e-24,2.8517750110922098,0.44695130317887805
3.6,0.04581959819709858,10.792823647678853,4.750452331192891e-24,2.893546814721393,0.45799805625707185
3.7,0.04546404498302925,11.223560767196487,5.525550586656079e-24,2.9364560337397845,0.4687059141195227
3.8000000000000003,0.045029253951777815,11.673083042279709,3.5692220136791326e-22,2.980648501525241,0.47897625822355444
3.9,0.04451893389221273,12.142122028720411,3.582799618444463e-22,3.0260490596129235,0.4888899261174766
4.0,0.04393672801531712,12.63144340352009,3.593540473827386e-22,3.072781032097172,0.49836936269374
4.1000000000000005,0.043286248645885594,13.141848074877224,6.240565747689434e-28,3.1209580324756847,0.5073476865451239
4.2,0.04257102832919757,13.674173365770368,6.383793005306222e-67,3.1706721830435978,0.5157777896477641
4.3,0.0417945579245238,14.229294271852746,1.0950796496367868e-66,3.221936172961538,0.5236765844909563
4.4,0.04096026765497962,14.808124794409517,3.9454722981287066e-67,3.2745380114101676,0.5312336447615726
4.5,0.04007172171111084,15.411619349351744,9.455218905095092e-67,3.329295726019068,0.5378516913055734
4.6,0.03913235623817135,16.040774253579375,3.252701567981738e-67,3.3861643200210163,0.5436055703374657
4.699999999999999,0.03814546384114936,16.696629290094947,1.1364852014702198e-66,3.444271912607417,0.5491841787900223
4.8,0.03711500910088383,17.38026935360899,5.988769244892761e-67,3.505891285194302,0.5529385937530429
4.9,0.036044370669165327,18.09282617849721,9.781675721268361e-67,3.569792472886248,0.5558403763248152
5.0,0.034937152176155895,18.83548015126534,9.582020592170629e-67,3.63564919555973,0.558172065226182
5.1000000000000005,0.033796671484089824,19.609462209808154,2.676877246673824e-67,3.7030753592666956,0.56024643984893
5.2,0.03262848624200876,20.416055832028356,2.0197716330029705e-28,3.7750762095392987,0.5599991487042484
5.3,0.03143687976459386,21.256599116430163,9.759834830759748e-64,3.8525135332615785,0.5569651731008967
