weight,saddle,pf_minus,pf_plus,p_plus,entropy
0.0,2.001800374142485,4.019991755187686,2.4852413464532448e-11,6.1822050834575645e-12,0
0.02,1.6926724807885918,4.019253331121583,0.00040066813837076793,9.967727034330163e-5,0.14144054254182067
0.04,1.4435504682531095,4.018541960231518,0.0011332740616096775,0.00028193174710766585,0.24229218908241482
0.06,1.2170806652689634,4.017845772444643,0.002081985549167762,0.0005179161603159753,0.32744491915447627
0.08,1.0053228795196536,4.017171096075676,0.0032054573255319465,0.000797302760812331,0.4021791902022728
0.1,0.8045058966997249,4.016523937324022,0.0044797891880941154,0.0011140972485444466,0.4689955935892812
0.12,0.6124084137249575,4.01590326541201,0.0058888539257983775,0.0014642362785195328,0.5293608652873644
0.14,0.42756257526861285,4.015310558778636,0.007420807839765169,0.001844718715583354,0.584238811642856
0.16,0.24892505054731362,4.014743462488368,0.009066472301268582,0.0022532059039072315,0.6343095546405662
0.18,0.07571567658850646,4.014203908523494,0.01081845891509543,0.002687800943074011,0.6800770457282798
0.2,-0.09267114977990855,4.013689131775811,0.01267065416905696,0.0031469254718089062,0.7219280948873623
0.22,-0.2567192716950447,4.013199627501449,0.014617888006708334,0.0036292329407739098,0.7601675029619657
0.24,-0.4168241878661424,4.01273466546891,0.016655713828683937,0.004133556756937353,0.7950402793845223
0.26,-0.573315255137522,4.012292442651382,0.01878025352681592,0.004658872449663637,0.8267463724926178
0.28,-0.7264710223310098,4.011872213520911,0.020988085360535747,0.005204267890548304,0.8554508105601306
0.3,-0.8765301578609337,4.011474138241873,0.023276161150967423,0.005768922343092726,0.8812908992306927
0.32,-1.0236994472463676,4.011097313838152,0.025641742828367668,0.006352093228820751,0.9043814577244939
0.34,-1.1681597850131369,4.0107390721279605,0.0280823522028241,0.006953105684160628,0.9248187049730301
0.36,-1.310070762876305,4.0104003515504125,0.030595734420225233,0.007571334831638722,0.9426831892554922
0.38,-1.4495742162555003,4.01007939603793,0.03317982419282746,0.008206207513683433,0.9580420222262995
0.4,-1.5867970377943357,4.009775344581454,0.03583272200757425,0.00885719066646658,0.9709505944546686
0.42,-1.7218534199889624,4.0094873279771965,0.038552672968159146,0.009523787551297857,0.9814538950336535
0.44,-1.8548466723164823,4.00921516480727,0.04133805083331095,0.010205532092182001,0.9895875212220556
0.46,-1.9858707012959742,4.008956544325484,0.04418733844523503,0.010901991077363055,0.9953784388202257
0.48,-2.1150112456333803,4.008711938395046,0.047099124543459936,0.011612751139678532,0.9988455359952018
0.5,-2.2423468892411056,4.008479758242651,0.05007208389819743,0.012337426216486338,1.0
0.52,-2.367949924084135,4.008259106377351,0.053104973826366156,0.01307564965308464,0.9988455359952018
0.54,-2.4918870747198563,4.008049081606795,0.05619662515380808,0.013827073756965217,0.9953784388202257
0.56,-2.6142201164203787,4.007848779316644,0.05934593551261306,0.014591368172326225,0.9895875212220556
0.58,-2.7350064057008727,4.007657788167378,0.06255186618239446,0.01536821724049183,0.9814538950336537
0.6,-2.854299333596086,4.007474180531862,0.06581342636231302,0.016157323693745958,0.9709505944546686
0.62,-2.9721487270529225,4.0072980197597285,0.0691296873209706,0.016958398943489977,0.9580420222262995
0.64,-3.0886011871243695,4.007127460245043,0.07249975610507407,0.01777117179101888,0.9426831892554922
