weight,G_0,Sigma_0
0.0,0,0
0.02,0.029580992315476614,0.029580992315476614
0.04,0.04165936132477124,0.04165936132477124
0.06,0.05090784657863807,0.05090784657863807
0.08,0.05868782685033981,0.05868782685033981
0.1,0.06552717938027257,0.06552717938027257
0.12,0.07169684830052185,0.07169684830052185
0.14,0.07735790008560373,0.07735790008560373
0.16,0.08261534682827257,0.08261534682827257
0.18,0.0875421752504998,0.0875421752504998
0.2,0.09219155812166957,0.09219155812166957
0.22,0.09660365976950645,0.09660365976950645
0.24,0.10080970156240397,0.10080970156240397
0.26,0.10483452616421526,0.10483452616421526
0.28,0.10869828726801799,0.10869828726801799
0.3,0.11241760394286571,0.11241760394286571
0.32,0.11600637345500134,0.11600637345500134
0.34,0.11947635855208658,0.11947635855208658
0.36,0.12283762133610485,0.12283762133610485
0.38,0.12609885008399876,0.12609885008399876
0.4,0.1292676096819985,0.1292676096819985
0.42,0.13235053647672834,0.13235053647672834
0.44,0.1353534919743286,0.1353534919743286
0.46,0.13828168560089618,0.13828168560089618
0.48,0.14113596385139388,0.14113596385139388
0.5,0.14392623790903214,0.14392623790903214
0.52,0.14665553160576456,0.14665553160576456
0.54,0.14932706171921808,0.14932706171921808
0.56,0.15194386125673182,0.15194386125673182
0.58,0.1545082496813389,0.1545082496813389
0.6,0.15702280935246204,0.15702280935246204
0.62,0.15948992727353162,0.15948992727353162
0.64,0.1619101586323757,0.1619101586323757
0.66,0.16428680873935403,0.16428680873935403
0.68,0.16662219025449618,0.16662219025449618
0.7,0.16891818920757087,0.16891818920757087
0.72,0.17117660671256274,0.17117660671256274
0.74,0.17339918000950477,0.17339918000950477
0.76,0.17558760512172902,0.17558760512172902
0.78,0.17774356257201063,0.17774356257201063
0.8,0.17986874820272974,0.17986874820272974
0.82,0.18196491215480526,0.18196491215480526
0.84,0.18403391078787124,0.18403391078787124
0.86,0.1860777793750049,0.1860777793750049
0.88,0.18809883901934743,0.18809883901934743
0.9,0.1900998621131282,0.1900998621131282
0.92,0.19208434308314684,0.19208434308314684
0.94,0.19405697114697412,0.19405697114697412
0.96,0.19602452470898848,0.19602452470898848
0.98,0.19799775072003126,0.19799775072003126
1.0,0.19999593952448583,0.19999593952448583
