weight,G_0,Sigma_0
0.0,0,0
0.02,0.10714809668873326,0.001435575803149828
0.04,0.12032407550889644,0.0020139669693846974
0.06,0.12882846545248675,0.0024590533459229623
0.08,0.13497861413110337,0.0028192923935337964
0.1,0.13987219036397674,0.003130483049215193
0.12,0.14435330751738348,0.003434379521854845
0.14,0.14849168997757425,0.0037312217706271834
0.16,0.15233842151636967,0.004021121302259275
0.18,0.15540449427706957,0.004263978539934753
0.2,0.15830095062541227,0.004501576846150606
0.22,0.16104636084183915,0.004734066915569959
0.24,0.16365592495714212,0.004961564233764253
0.26,0.1661423098239402,0.005184162904580935
0.28,0.16851623725188006,0.005401944973887002
0.3,0.17078690811770508,0.0056149868607772765
0.32,0.1729623151513151,0.005823363872742033
0.34,0.17504947812755506,0.006027153408646123
0.36,0.1770546236779641,0.006226437232413422
0.38,0.17898332474658515,0.006421303067997616
0.4,0.1808406101035882,0.006611845686146375
0.42,0.1823420145956524,0.006770538206694308
0.44,0.1840820978930781,0.006953585366592427
0.46,0.18576260615192056,0.007132602051608017
0.48,0.18713690944028044,0.007282921365721646
0.5,0.1887190662440213,0.007454988020831131
0.52,0.19025115948849378,0.007623389005311399
0.54,0.19151847205818712,0.007765947700996358
0.56,0.19296774853437196,0.007928092525373834
0.58,0.1941771587801645,0.008066252338842811
0.6,0.19555242748226132,0.00822266953827645
0.62,0.1967102532404971,0.00835683375174924
0.64,0.19801970875076327,0.008508128647401822
0.66,0.19913205215294175,0.00863879499295263
0.68,0.20022824008511278,0.008768290540542857
0.7,0.20130932594127032,0.008896738846548674
0.72,0.20251572038487514,0.00904033508015306
0.74,0.20356276016051378,0.009166548242499734
0.76,0.20459870923334786,0.009292250262018449
0.78,0.20562492021506776,0.009417653809972667
0.8,0.2066428591530067,0.009543001173233541
0.82,0.20765412151553772,0.009668568222691588
0.84,0.2086604529117677,0.00979466961298131
0.86,0.20956943103289902,0.009909258835276269
0.88,0.21057751632706956,0.010038031134499002
0.9,0.2115045516979503,0.010157193907420547
0.92,0.21252379154963982,0.010290600281597567
0.94,0.21347933142974804,0.010416665732900449
0.96,0.21445742292973244,0.01054766929917565
0.98,0.21546287931845598,0.010684730539301957
1.0,0.21644805116881652,0.010820532582803383
