weight,G_0,Sigma_0
0.0,0,0
0.02,0.13659775906209187,0.0027911838709441398
0.04,0.15444238131127294,0.004016718431315317
0.06,0.1666235608182788,0.005036027323946309
0.08,0.17627893606358158,0.005959164241791957
0.1,0.18464390575260542,0.006845258037046527
0.12,0.19165600296280694,0.007653708395917109
0.14,0.19764480405688886,0.008394314586797638
0.16,0.20349221721553443,0.009158771234802276
0.18,0.20860024847876607,0.009864679736551382
0.2,0.21365319597559423,0.010593336295343371
0.22,0.21814032538649836,0.011270810096474383
0.24,0.2223905581975541,0.011936761290373892
0.26,0.22643184499781394,0.012591828699391596
0.28,0.23028690513675612,0.013236500705712587
0.3,0.23397446483189369,0.013871148114047003
0.32,0.2373650965063765,0.014472973574387265
0.34,0.24077615768128044,0.015090219699689288
0.36,0.2439429285816371,0.015679007930403416
0.38,0.2471181148767604,0.01627908823082169
0.4,0.2500906175083572,0.016854431019279904
0.42,0.2529803559543312,0.017423725191901007
0.44,0.25579114060159924,0.017986682595107783
0.46,0.2585264122799055,0.018543024117384756
0.48,0.26118931869831613,0.01909248685014093
0.5,0.2637827781493679,0.019634831155786545
0.52,0.2663095325676392,0.020169847561407928
0.54,0.26874001198202474,0.02069179249966702
0.56,0.27111957312383833,0.021207946171143396
0.58,0.273448688067422,0.021717873373248507
0.6,0.2757281073940125,0.02222123391035156
0.62,0.2779588380061679,0.022717784994896524
0.64,0.28014212238478464,0.02320738356121266
0.66,0.2822702704424851,0.023688191245363144
0.68,0.28435807200672747,0.02416257699614468
0.7,0.28641228594249185,0.024631956218052618
0.72,0.2884213102925664,0.025093474023658337
0.74,0.2903903355210347,0.02554761707059676
0.76,0.2923296422183438,0.02599752121000214
0.78,0.29423404976784145,0.02644085462622752
0.8,0.29611224503471556,0.026881365784566846
0.82,0.29795911304095113,0.02731486783809619
0.84,0.2997854994936584,0.027747526210371295
0.86,0.30159204832653214,0.02817892900481833
0.88,0.3033800641578822,0.028608243890303062
0.9,0.3051558646973935,0.029039335635402088
0.92,0.3069236928189217,0.029474383760918085
0.94,0.30868587307270645,0.02991321215657628
0.96,0.31044968620779995,0.030361600518150633
0.98,0.3122182598115768,0.030820669958528803
1.0,0.3139971852710886,0.031295566409044885
