weight,saddle_1R2,pf_minus_1R2,pf_plus_1R2,p_1R2,entropy
0.0,12.276549486833364,341911.81885344867,14611.508667944123,0.040983317331647465,0
0.02,12.208080106584976,338356.0298957487,51957.21545519697,0.13311671093426572,0.14144054254182067
0.04,12.157533303379092,334931.6565788643,70631.1443925064,0.17415587480739475,0.24229218908241482
0.06,12.114541561174937,331516.5423322685,85036.99011162334,0.2041442059384708,0.32744491915447627
0.08,12.076608145574266,328089.5355594139,97207.5816729833,0.2285639326820682,0.4021791902022728
0.1,12.042534367512118,324641.392229354,107942.48493038602,0.24952960715761063,0.4689955935892812
0.12,12.011612087232447,321166.6936306819,117654.61041007574,0.2681150831253808,0.5293608652873644
0.14,11.983373772239416,317661.659213691,126590.23723499649,0.28495148416235977,0.584238811642856
0.16,11.957488318444648,314123.3183556092,134910.2578945553,0.30044581303068174,0.6343095546405662
0.18,11.933709653639383,310549.13028008083,142726.6412045972,0.31487816067711827,0.6800770457282798
0.2,11.911848396115102,306936.78502998716,150121.0277047462,0.3284508513409293,0.7219280948873623
0.22,11.891754930169142,303284.0880079482,157155.11875126587,0.34131567521670647,0.7601675029619657
0.24,11.873308673820176,299588.8868348049,163876.8940985658,0.35359006174853985,0.7950402793845223
0.26,11.856410946677043,295849.02105749154,170324.53896554324,0.36536722279386047,0.8267463724926178
0.28,11.840980049459354,292062.2846872694,176529.03452937407,0.3767228014903954,0.8554508105601306
0.3,11.826947764659726,288226.3960174166,182515.92906046164,0.38771939410858525,0.8812908992306927
0.32,11.814256805406355,284338.9714259982,188306.58581539692,0.3984097235874847,0.9043814577244939
0.34,11.802858917707205,280397.5010646692,193919.08507933968,0.4088389289858467,0.9248187049730301
0.36,11.792713445857549,276399.32498581114,199368.89077950653,0.4190462586047347,0.9426831892554922
0.38,11.783786234672665,272341.6086130632,204669.35270309448,0.4290663513022332,0.9580420222262995
0.4,11.776048782585745,268221.3166393274,209832.0913391775,0.4389302279560621,0.9709505944546686
0.42,11.769477585964923,264035.18450330175,214867.2972579009,0.4486660759570696,0.9814538950336535
0.44,11.76405363264918,259779.68658330166,219783.9671731502,0.4582998845962757,0.9895875212220556
0.46,11.759762014866926,255451.0001693663,224590.0923642949,0.46785597286871083,0.9953784388202257
0.48,11.756591640331097,251044.96413431515,229292.81075206632,0.47735744041014255,0.9988455359952018
0.5,11.754535026630322,246557.03101628006,233898.53090033977,0.4868265651193178,1.0
0.52,11.7535881688576,241982.21093532373,238413.034092296,0.4962851663500306,0.9988455359952018
0.54,11.753750474285631,237315.00537317933,242841.55911547178,0.5057549496883147,0.9953784388202257
0.56,11.75502476120567,232549.32831357082,247188.87329594218,0.5152578478566601,0.9895875212220556
0.58,11.757417322106008,227678.4115206317,251459.33252201288,0.5248163720110355,0.9814538950336537
0.6,11.760938054454332,222694.6897508399,255656.93240836117,0.5344539885834766,0.9709505944546686
0.62,11.765600665748897,217589.66033983018,259785.35231589677,0.5441955389970288,0.9580420222262995
0.64,11.771422963541957,212353.70971338358,263847.9936213911,0.5540677233485308,0.9426831892554922
0.66,11.77842724625213,206975.89668968212,267848.0133996301,0.5640996750758593,0.92481870497303
0.68,11.786640817376282,201443.67857211584,271788.35452323,0.5743236626343733,0.9043814577244937
0.7,11.796096655099085,195742.56034933214,275671.7730946791,0.5847759678427766,0.8812908992306927
0.72,11.806834282698455,189855.6387930523,279500.8641035513,0.5954980113807513,0.8554508105601306
0.74,11.818900904846945,183763.00014703564,283278.0862630471,0.606537828267889,0.8267463724926178
0.76,11.83235290472516,177440.90944028585,287005.7871555359,0.6179520475851261,0.7950402793845223
0.78,11.84725784337849,170860.69586975663,290686.23017064895,0.6298086148345426,0.7601675029619656
0.8,11.863697177757055,163987.18217259797,294321.62537520786,0.6421906376837574,0.7219280948873623
0.82,11.88177003946697,156776.406898735,297914.16766109254,0.6552019864266911,0.6800770457282799
0.84,11.901598635864476,149172.2067358649,301466.0877922707,0.668975742747155,0.6343095546405662
0.86,11.92333623939043,141100.8731927046,304979.7264643056,0.6836874921231801,0.584238811642856
0.88,11.947179522979928,132462.36489972484,308457.65094088146,0.6995773379732203,0.5293608652873644
0.9,11.973388675053863,123114.89990097508,311902.85544070945,0.716988793240693,0.4689955935892811
0.92,12.00232264085142,112845.57938763621,315319.1415372782,0.736443537095095,0.40217919020227266
0.94,12.034507264901807,101307.54255891917,318711.93760673684,0.7588027523890953,0.32744491915447643
0.96,12.070787668570436,87860.55697564331,322090.41187969374,0.7856803285013154,0.24229218908241493
0.98,12.112762498066864,71032.45671114679,325474.8284889005,0.82085459873629,0.14144054254182076
1.0,12.164937421019824,44953.53131829239,328949.38676792604,0.8797721837840097,0
