weight,saddle_1R2,p_1R2,entropy
0.0,9.7147838661277,0.2810815597185812,0
0.02,9.699796466511533,0.29811311114642053,0.14144054254182067
0.04,9.684692502336873,0.3136888187651091,0.24229218908241482
0.06,9.612133058991624,0.32798145910460913,0.32744491915447627
0.08,9.597245431025595,0.3410084056047999,0.4021791902022728
0.1,9.582502965270882,0.3530439450029406,0.4689955935892812
0.12,9.567959829404455,0.3641825858249481,0.5293608652873644
0.14,9.553662107371263,0.37450526644097293,0.584238811642856
0.16,9.483150483925225,0.383724189087761,0.6343095546405662
0.18,9.469502512952563,0.3925689535125487,0.6800770457282798
0.2,9.456178170940168,0.40079607166637504,0.7219280948873623
0.22,9.443190986514884,0.4084540125541099,0.7601675029619657
0.24,9.430547677767263,0.4155869612227058,0.7950402793845223
0.26,9.418248591341648,0.42223551843553797,0.8267463724926178
0.28,9.406288129812328,0.42843725394327326,0.8554508105601306
0.3,9.39465515132903,0.43422714995894346,0.8812908992306927
0.32,9.383333330254281,0.43963796199406174,0.9043814577244939
0.34,9.31659736101383,0.44430086582238915,0.9248187049730301
0.36,9.305779354530026,0.4490600415798668,0.9426831892554922
0.38,9.295183006952927,0.45353255408581217,0.9580420222262995
0.4,9.284774695710944,0.4577444659432597,0.9709505944546686
0.42,9.274516766162556,0.46172075558663866,0.9814538950336535
0.44,9.264367563261763,0.4654854639777444,0.9895875212220556
0.46,9.25428140901053,0.4690618301554923,0.9953784388202257
0.48,9.244208525167496,0.4724724185238903,0.9988455359952018
0.5,9.23409489988989,0.4757392402937643,1.0
0.52,9.22388209589187,0.47888387120276393,0.9988455359952018
0.54,9.213506996298678,0.4819275674915908,0.9953784388202257
0.56,9.202901482630075,0.48489138209057453,0.9895875212220556
0.58,9.191992037198672,0.4877962830578779,0.9814538950336537
0.6,9.180699259567188,0.4906632765061254,0.9709505944546686
0.62,9.168937283438634,0.4935135365644883,0.9580420222262995
0.64,9.15661307626452,0.4963685453644118,0.9426831892554922
0.66,9.143625598679428,0.4992502466370421,0.92481870497303
0.68,9.129864794233761,0.5021812173114908,0.9043814577244937
0.7,9.115210371269374,0.5051848625678923,0.8812908992306927
0.72,9.099530327418739,0.5082856412179868,0.8554508105601306
0.74,9.08267915202734,0.5115093301892369,0.8267463724926178
0.76,9.064495621235633,0.5148833394661129,0.7950402793845223
0.78,9.044800072187531,0.5184370923734419,0.7601675029619656
0.8,9.02339100337233,0.5222024909885459,0.7219280948873623
0.82,9.000040792121295,0.5262144933737337,0.6800770457282799
0.84,8.974490239436419,0.5305118392065441,0.6343095546405662
0.86,9.003823262367094,0.534325197938654,0.584238811642856
0.88,8.97275927489446,0.5392806957152045,0.5293608652873644
0.9,8.938394334113113,0.5446740848506494,0.4689955935892811
0.92,8.900238560671747,0.5505724325672849,0.40217919020227266
0.94,8.857700981700708,0.5570554373344784,0.32744491915447643
0.96,8.866848600236269,0.5631851507725968,0.24229218908241493
0.98,8.812643984612896,0.5711198204515456,0.14144054254182076
1.0,8.75114706747785,0.5800135712870418,0
