weight,saddle_1R2,p_1R2,entropy
0.0,1.009264409792112,3.690049547363922e-5,0
0.02,0.9851509497413234,0.021500566085519153,0.14144054254182067
0.04,0.9610931894817729,0.03770281805641189,0.24229218908241482
0.06,0.9368912444915493,0.05220497153058233,0.32744491915447627
0.08,0.9126122306486827,0.0655805539967499,0.4021791902022728
0.1,0.8882788551102471,0.07810619494785898,0.4689955935892812
0.12,0.8639146980015381,0.0899395418291683,0.5293608652873644
0.14,0.8395593738072522,0.10117481709204693,0.584238811642856
0.16,0.8151858995816565,0.11190551032317113,0.6343095546405662
0.18,0.7908088819855101,0.12218506153567962,0.6800770457282798
0.2,0.7664364144770063,0.13205742244332433,0.7219280948873623
0.22,0.7420769169733561,0.14155763419376716,0.7601675029619657
0.24,0.7177366944174245,0.15071522962604506,0.7950402793845223
0.26,0.6934222906868003,0.1595548730954331,0.8267463724926178
0.28,0.6691387609886497,0.16809811065843971,0.8554508105601306
0.3,0.6448910529448465,0.176363619452444,0.8812908992306927
0.32,0.6206829613951943,0.18436813757743914,0.9043814577244939
0.34,0.5965171823944351,0.19212683290025495,0.9248187049730301
0.36,0.57239599108601,0.19965338397769222,0.9426831892554922
0.38,0.548321186722803,0.20696024790746592,0.9580420222262995
0.4,0.5242932526899604,0.2140591026215047,0.9709505944546686
0.42,0.5003122636971505,0.2209607082404945,0.9814538950336535
0.44,0.47637779832002536,0.2276750604699078,0.9895875212220556
0.46,0.4524882868153736,0.2342116712555515,0.9953784388202257
0.48,0.4286417314287156,0.240579438466118,0.9988455359952018
0.5,0.4048354625860404,0.2467867828197441,1.0
0.52,0.38106624473158707,0.25284167473329644,0.9988455359952018
0.54,0.35732991116842366,0.2587517746634657,0.9953784388202257
0.56,0.33362177475983973,0.2645243635952886,0.9895875212220556
0.58,0.30993646188418106,0.270166420246948,0.9814538950336537
0.6,0.28626789553157045,0.27568465273961223,0.9709505944546686
0.62,0.26260925426585735,0.28108553376213974,0.9580420222262995
0.64,0.23895296481691614,0.2863753193414659,0.9426831892554922
0.66,0.2152907043555214,0.29156006900778514,0.92481870497303
0.68,0.19161342807406181,0.2966456542894054,0.9043814577244937
0.7,0.16791096554121077,0.30163785684270056,0.8812908992306927
0.72,0.1441723513058302,0.3065423076600985,0.8554508105601306
0.74,0.12038596321470493,0.3113644701668072,0.8267463724926178
0.76,0.09653878967102118,0.3161097963302607,0.7950402793845223
0.78,0.07261683827233298,0.32078364722781577,0.7601675029619656
0.8,0.048604781447715364,0.32539136612849207,0.7219280948873623
0.82,0.024486525234090027,0.3299381726427146,0.6800770457282799
0.84,0.00024398478465785002,0.33442939591534954,0.6343095546405662
0.86,-0.02414176445278963,0.3388702575010405,0.584238811642856
0.88,-0.048691790171433234,0.3432661101225066,0.5293608652873644
0.9,-0.07342837520980856,0.3476222652790234,0.4689955935892811
0.92,-0.09837601352566541,0.3519441669699846,0.40217919020227266
0.94,-0.12356102868198043,0.3562373171786787,0.32744491915447643
0.96,-0.1490120241090171,0.3605073471142297,0.24229218908241493
0.98,-0.17475997263360274,0.3647600223031656,0.14144054254182076
1.0,-0.20083846201089575,0.36900127357727014,0
