weight,saddle_1R2,p_1R2,entropy
0.0,1.0789162642388028,0.00019256433846419306,0
0.02,1.056589427658361,0.032872372087715034,0.14144054254182067
0.04,1.035003985514695,0.05368683669095608,0.24229218908241482
0.06,1.0132904789671815,0.07149058772002363,0.32744491915447627
0.08,0.9913337618964602,0.08755344971315501,0.4021791902022728
0.1,0.9691377981162794,0.10238227639303628,0.4689955935892812
0.12,0.9467311537821349,0.11624751131649459,0.5293608652873644
0.14,0.9241602973592291,0.12930595658530666,0.584238811642856
0.16,0.9014417398124137,0.14168364988082294,0.6343095546405662
0.18,0.8786103314180537,0.15345890520875488,0.6800770457282798
0.2,0.8556844765128259,0.1646993999406798,0.7219280948873623
0.22,0.8326905104932704,0.1754532002979836,0.7601675029619657
0.24,0.809654144953906,0.1857587691925634,0.7950402793845223
0.26,0.7865981393740658,0.19564866036645517,0.8267463724926178
0.28,0.7635402074007211,0.20515196053239448,0.8554508105601306
0.3,0.7405016073402622,0.21429163604870732,0.8812908992306927
0.32,0.7174967705747509,0.22309000908517135,0.9043814577244939
0.34,0.6945420074657307,0.23156565321670455,0.9248187049730301
0.36,0.6716462526357669,0.2397375143842276,0.9426831892554922
0.38,0.6488199888470607,0.24762176383597972,0.9580420222262995
0.4,0.6261420310678979,0.2552101220232183,0.9709505944546686
0.42,0.6034998800409082,0.2625574140803753,0.9814538950336535
0.44,0.5809241261940488,0.2696673401427879,0.9895875212220556
0.46,0.5584198154192382,0.2765513963423729,0.9953784388202257
0.48,0.5359902974621504,0.2832206559374729,0.9988455359952018
0.5,0.5136329412549915,0.28968705341351964,1.0
0.52,0.49134435400167237,0.295961807023815,0.9988455359952018
0.54,0.46912011034582807,0.3020555809754907,0.9953784388202257
0.56,0.4469522162848242,0.30797922539431977,0.9895875212220556
0.58,0.42483175608284574,0.3137430607002809,0.9814538950336537
0.6,0.4027486401418772,0.3193569983063128,0.9709505944546686
0.62,0.3806889694948329,0.3248312337015111,0.9580420222262995
0.64,0.35863966490203086,0.33017508700212933,0.9426831892554922
0.66,0.33658397199979917,0.3353981559452532,0.92481870497303
0.68,0.3145040239861249,0.3405096852986019,0.9043814577244937
0.7,0.2923806764859143,0.3455186347491072,0.8812908992306927
0.72,0.270191574529591,0.350434129273641,0.8554508105601306
0.74,0.24791405830067034,0.35526480550981243,0.8267463724926178
0.76,0.2255236597183451,0.36001917408325396,0.7950402793845223
0.78,0.20299261520559223,0.36470593446646443,0.7601675029619656
0.8,0.18029269271926143,0.3693333754029849,0.7219280948873623
0.82,0.15739319729298415,0.3739098073522889,0.6800770457282799
0.84,0.13426134540884926,0.37844348239217523,0.6343095546405662
0.86,0.11086213505790822,0.3829426204034845,0.584238811642856
0.88,0.08715818576265857,0.38741543848199034,0.5293608652873644
0.9,0.06310954436529065,0.3918701839470612,0.4689955935892811
0.92,0.0386721500914189,0.3963154067395094,0.40217919020227266
0.94,0.013802544251667886,0.40075909419729044,0.32744491915447643
0.96,-0.01155315157286021,0.4052106422297823,0.24229218908241493
0.98,-0.037443607529344156,0.40967805339927194,0.14144054254182076
1.0,-0.06393011419842008,0.4141710601350194,0
