β,weight,weight_lower,weight_upper
0.1,7.62939453125e-6,0.0,1.52587890625e-5
0.5,7.62939453125e-6,0.0,1.52587890625e-5
1.0,7.62939453125e-6,0.0,1.52587890625e-5
1.5,7.62939453125e-6,0.0,1.52587890625e-5
2.0,7.62939453125e-6,0.0,1.52587890625e-5
2.5,7.62939453125e-6,0.0,1.52587890625e-5
3.0,3.814697265625e-5,3.0517578125e-5,4.57763671875e-5
3.5,8.392333984375e-5,7.62939453125e-5,9.1552734375e-5
4.0,0.00020599365234375,0.0001983642578125,0.000213623046875
4.5,0.00043487548828125,0.00042724609375,0.0004425048828125
5.0,0.00087738037109375,0.0008697509765625,0.000885009765625
5.5,0.00171661376953125,0.001708984375,0.0017242431640625
6.0,0.00322723388671875,0.0032196044921875,0.00323486328125
6.5,0.00580596923828125,0.00579833984375,0.0058135986328125
7.0,0.01013946533203125,0.0101318359375,0.0101470947265625
7.5,0.01714324951171875,0.0171356201171875,0.01715087890625
8.0,0.02806854248046875,0.0280609130859375,0.028076171875
8.5,0.04471588134765625,0.044708251953125,0.0447235107421875
9.0,0.06914520263671875,0.0691375732421875,0.06915283203125
9.5,0.10271453857421875,0.1027069091796875,0.10272216796875
10.0,0.14583587646484375,0.1458282470703125,0.145843505859375
10.5,0.19167327880859375,0.1916656494140625,0.191680908203125
11.0,0.22957611083984375,0.2295684814453125,0.229583740234375
11.5,0.25716400146484375,0.2571563720703125,0.257171630859375
12.0,0.27991485595703125,0.2799072265625,0.2799224853515625
12.5,0.29817962646484375,0.2981719970703125,0.298187255859375
13.0,0.31482696533203125,0.3148193359375,0.3148345947265625
13.5,0.32875823974609375,0.3287506103515625,0.328765869140625
14.0,0.34102630615234375,0.3410186767578125,0.341033935546875
14.5,0.35271453857421875,0.3527069091796875,0.35272216796875
15.0,0.36281585693359375,0.3628082275390625,0.362823486328125
15.5,0.37239837646484375,0.3723907470703125,0.372406005859375
16.0,0.38147735595703125,0.3814697265625,0.3814849853515625
16.5,0.38910675048828125,0.38909912109375,0.3891143798828125
17.0,0.39728546142578125,0.39727783203125,0.3972930908203125
17.5,0.40409088134765625,0.404083251953125,0.4040985107421875
18.0,0.41051483154296875,0.4105072021484375,0.4105224609375
18.5,0.41747283935546875,0.4174652099609375,0.41748046875
19.0,0.42317962646484375,0.4231719970703125,0.423187255859375
19.5,0.42855072021484375,0.4285430908203125,0.428558349609375
20.0,0.43361663818359375,0.4336090087890625,0.433624267578125
20.5,0.43839263916015625,0.438385009765625,0.4384002685546875
21.0,0.44286346435546875,0.4428558349609375,0.44287109375
21.5,0.44707489013671875,0.4470672607421875,0.44708251953125
22.0,0.45102691650390625,0.451019287109375,0.4510345458984375
22.5,0.45471954345703125,0.4547119140625,0.4547271728515625
23.0,0.45818328857421875,0.4581756591796875,0.45819091796875
23.5,0.46141815185546875,0.4614105224609375,0.46142578125
24.0,0.46443939208984375,0.4644317626953125,0.464447021484375
24.5,0.46726226806640625,0.467254638671875,0.4672698974609375
25.0,0.46988677978515625,0.469879150390625,0.4698944091796875
25.5,0.47232818603515625,0.472320556640625,0.4723358154296875
26.0,0.47458648681640625,0.474578857421875,0.4745941162109375
26.5,0.47711944580078125,0.47711181640625,0.4771270751953125
27.0,0.47904205322265625,0.479034423828125,0.4790496826171875
27.5,0.48081207275390625,0.480804443359375,0.4808197021484375
28.0,0.48246002197265625,0.482452392578125,0.4824676513671875
28.5,0.48397064208984375,0.4839630126953125,0.483978271484375
29.0,0.48567962646484375,0.4856719970703125,0.485687255859375
29.5,0.48693084716796875,0.4869232177734375,0.4869384765625
30.0,0.48810577392578125,0.48809814453125,0.4881134033203125
30.5,0.48917388916015625,0.489166259765625,0.4891815185546875
31.0,0.49037933349609375,0.4903717041015625,0.490386962890625
31.5,0.49126434326171875,0.4912567138671875,0.49127197265625
32.0,0.49207305908203125,0.4920654296875,0.4920806884765625
32.5,0.49298858642578125,0.49298095703125,0.4929962158203125
33.0,0.49365997314453125,0.49365234375,0.4936676025390625
33.5,0.49442291259765625,0.494415283203125,0.4944305419921875
34.0,0.49495697021484375,0.4949493408203125,0.494964599609375
34.5,0.49558258056640625,0.495574951171875,0.4955902099609375
35.0,0.49613189697265625,0.496124267578125,0.4961395263671875
35.5,0.49652862548828125,0.49652099609375,0.4965362548828125
36.0,0.49698638916015625,0.496978759765625,0.4969940185546875
36.5,0.49738311767578125,0.49737548828125,0.4973907470703125
37.0,0.49773406982421875,0.4977264404296875,0.49774169921875
37.5,0.49805450439453125,0.498046875,0.4980621337890625
38.0,0.49832916259765625,0.498321533203125,0.4983367919921875
38.5,0.49857330322265625,0.498565673828125,0.4985809326171875
39.0,0.49878692626953125,0.498779296875,0.4987945556640625
39.5,0.49897003173828125,0.49896240234375,0.4989776611328125
40.0,0.49912261962890625,0.499114990234375,0.4991302490234375
