β,weight,weight_lower,weight_upper
0.1,9.765625e-6,0.0,1.953125e-5
0.2,9.765625e-6,0.0,1.953125e-5
0.3,9.765625e-6,0.0,1.953125e-5
0.4,9.765625e-6,0.0,1.953125e-5
0.5,9.765625e-6,0.0,1.953125e-5
0.6,9.765625e-6,0.0,1.953125e-5
0.7,9.765625e-6,0.0,1.953125e-5
0.8,9.765625e-6,0.0,1.953125e-5
0.9,9.765625e-6,0.0,1.953125e-5
1.0,9.765625e-6,0.0,1.953125e-5
1.1,9.765625e-6,0.0,1.953125e-5
1.2,9.765625e-6,0.0,1.953125e-5
1.3,9.765625e-6,0.0,1.953125e-5
1.4,9.765625e-6,0.0,1.953125e-5
1.5,9.765625e-6,0.0,1.953125e-5
1.6,9.765625e-6,0.0,1.953125e-5
1.7,9.765625e-6,0.0,1.953125e-5
1.8,9.765625e-6,0.0,1.953125e-5
1.9,9.765625e-6,0.0,1.953125e-5
2.0,9.765625e-6,0.0,1.953125e-5
2.1,9.765625e-6,0.0,1.953125e-5
2.2,9.765625e-6,0.0,1.953125e-5
2.3,9.765625e-6,0.0,1.953125e-5
2.4,9.765625e-6,0.0,1.953125e-5
2.5,9.765625e-6,0.0,1.953125e-5
2.6,9.765625e-6,0.0,1.953125e-5
2.7,9.765625e-6,0.0,1.953125e-5
2.8,3.814697265625e-5,3.0517578125e-5,4.57763671875e-5
2.9,0.00017547607421875,0.0001678466796875,0.00018310546875
3.0,0.00016021728515625,0.000152587890625,0.0001678466796875
3.1,0.00220489501953125,0.002197265625,0.0022125244140625
3.2,0.00246429443359375,0.0024566650390625,0.002471923828125
3.3,0.00272369384765625,0.002716064453125,0.0027313232421875
3.4,0.00299835205078125,0.00299072265625,0.0030059814453125
3.5,0.00328826904296875,0.0032806396484375,0.0032958984375
3.6,0.00356292724609375,0.0035552978515625,0.003570556640625
3.7,0.00385284423828125,0.00384521484375,0.0038604736328125
3.8,0.00412750244140625,0.004119873046875,0.0041351318359375
3.9,0.00443267822265625,0.004425048828125,0.0044403076171875
4.0,0.00472259521484375,0.0047149658203125,0.004730224609375
4.1,0.00504302978515625,0.005035400390625,0.0050506591796875
4.2,0.00534820556640625,0.005340576171875,0.0053558349609375
4.3,0.00568389892578125,0.00567626953125,0.0056915283203125
4.4,0.00600433349609375,0.0059967041015625,0.006011962890625
4.5,0.00634002685546875,0.0063323974609375,0.00634765625
4.6,0.00669097900390625,0.006683349609375,0.0066986083984375
4.7,0.00702667236328125,0.00701904296875,0.0070343017578125
4.8,0.00734710693359375,0.0073394775390625,0.007354736328125
4.9,0.00766754150390625,0.007659912109375,0.0076751708984375
5.0,0.00801849365234375,0.0080108642578125,0.008026123046875
5.1,0.00839996337890625,0.008392333984375,0.0084075927734375
5.2,0.00876617431640625,0.008758544921875,0.0087738037109375
5.3,0.00913238525390625,0.009124755859375,0.0091400146484375
5.4,0.00946807861328125,0.00946044921875,0.0094757080078125
5.5,0.00981903076171875,0.0098114013671875,0.00982666015625
