β,sre
0.5,0.0009145098017997455
1.0,0.0034002370902792567
1.5,0.006890824681312857
2.0,0.010843183299972692
2.5,0.014881833850403092
3.0,0.01879116340976883
3.5,0.02246425721901324
4.0,0.025862314193127567
4.5,0.048064773281501605
5.0,0.055727960813660715
5.5,0.06371953811257769
6.0,0.07207553859514482
6.5,0.07849104924495198
7.0,0.08721009177276784
7.5,0.09637444233290826
8.0,0.10246683550420155
8.5,0.11200260740481927
9.0,0.11784641154229147
9.5,0.1275494473147325
10.0,0.138187053454905
10.5,0.14315085027617847
11.0,0.15410842596710372
11.5,0.158244584996863
12.0,0.16952853912276056
12.5,0.173992336692953
13.0,0.184114908669605
13.5,0.18787833307498292
14.0,0.20029155539603072
14.5,0.20388739066642425
15.0,0.21266086219139546
15.5,0.22499467018514085
16.0,0.22740953668396124
16.5,0.24013925288433113
17.0,0.2540345300802356
17.5,0.2563158771251641
18.0,0.2605807094426953
18.5,0.2741193409227014
19.0,0.27421079569618767
19.5,0.28700811794176295
20.0,0.3035044476296944
20.5,0.3030728900277624
21.0,0.3185064795168209
21.5,0.3324037799011281
22.0,0.3491186845095535
22.5,0.34821765655437975
23.0,0.3659138122730552
23.5,0.3845635395454621
24.0,0.3675047247593477
24.5,0.3570248912989593
25.0,0.37179045292424573
25.5,0.3872502340238051
26.0,0.4274539350218778
26.5,0.44508085780152884
27.0,0.4633828721009694
27.5,0.48219271079326176
28.0,0.5310808180730018
28.5,0.5410733290741094
29.0,0.569855679936641
29.5,0.6256451989358616
30.0,0.6492665930524606
30.5,0.6735523588511672
31.0,0.7379828721195811
31.5,0.7650134433395368
32.0,0.793013479172008
32.5,0.821564910110298
33.0,0.8976782604201023
33.5,0.9294430514406959
34.0,0.9620533090726242
34.5,0.9952895361532974
35.0,1.0844602787176523
35.5,1.0867219445360705
36.0,1.121533560197245
36.5,1.1561164630469174
37.0,1.1916236173698258
37.5,1.227997670345491
38.0,1.3316643611729113
38.5,1.3707970359768813
39.0,1.4109212505973678
39.5,1.451561610276788
40.0,1.4915499269519392
