β,sre
0.1,0.0002916701039937797
0.5,0.005287697686149118
1.0,0.01779974233906456
1.5,0.03241606440224398
2.0,0.04629392013029765
2.5,0.05849187457774674
3.0,0.06894757969907772
3.5,0.08920205635236922
4.0,0.11062716738977829
4.5,0.12458996630452268
5.0,0.13716811461198675
5.5,0.14942742889117233
6.0,0.1614392274578691
6.5,0.17320227635994434
7.0,0.18470502854124238
7.5,0.19587264332062548
8.0,0.2069858975202552
8.5,0.21736748741167022
9.0,0.2278042974123926
9.5,0.2379599006047013
10.0,0.24649019411077777
10.5,0.2555077862791213
11.0,0.2641824400542747
11.5,0.27899216539611693
12.0,0.2836460532255882
12.5,0.2904712565487182
13.0,0.30433707727860315
13.5,0.31014925227116685
14.0,0.3145036471726912
14.5,0.32847749658965775
15.0,0.33236636732734315
15.5,0.34668227114552197
16.0,0.3363538918115916
16.5,0.34851074984859043
17.0,0.34754032702267335
17.5,0.3593924251841991
18.0,0.38292480227691206
18.5,0.4113133729767502
19.0,0.44185180254317347
19.5,0.4747284605337496
20.0,0.5101516379332223
20.5,0.5274341646608298
21.0,0.5665925547601462
21.5,0.6087156692985167
22.0,0.6451565226408031
22.5,0.6668756747286522
23.0,0.7147933521909251
23.5,0.7672363289004265
24.0,0.7920219298473183
24.5,0.8486163789817223
25.0,0.8747724474075329
25.5,0.902854190017166
26.0,0.9641410745355836
26.5,0.9937098865236229
27.0,1.023177259319628
27.5,1.0525608187272693
28.0,1.1223245083373663
28.5,1.1521906408798892
29.0,1.153803319608405
29.5,1.1822777652065701
30.0,1.210724508246324
30.5,1.1397542145334763
31.0,1.1632612435916068
31.5,1.186793531455005
32.0,1.2104014117172497
32.5,1.2341217689419333
33.0,1.2580016299155847
33.5,1.282070906121791
34.0,1.3063611192512665
34.5,1.3309088493861951
35.0,1.35573182511704
35.5,1.3810392267339546
36.0,1.3410710754135984
36.5,1.3652167828877282
37.0,1.387424354987286
37.5,1.4122467347102283
38.0,1.4381578122901182
38.5,1.464771359873307
39.0,1.4919932954708317
39.5,1.5192607497660298
40.0,1.5474492970861888
