L,det_minus,det_plus,det_plus_approx
100,112.96570906687579,15.83947133459102,1.4734200583303403
200,107.97982737124057,11.336648542811021,1.0134938934719575
300,105.35067196033198,9.192742631661577,0.8139467642472543
400,103.79768752339822,7.812867944655277,0.689332448079443
500,102.64243619299492,6.908072278475951,0.6086428695669692
600,101.79391067450433,6.228223121732508,0.5484213369388565
700,101.01983680313498,5.764872877987785,0.507617354032425
800,100.47017007425552,5.344982418524237,0.4706633717187757
900,99.95823192478919,5.030311488868185,0.44306233111265325
1000,99.62489078735193,4.705742182842165,0.41451376488477765
1100,99.30864206644692,4.44467153624136,0.39158949588871045
1200,99.00743806452392,4.231791488060689,0.37292747325277636
1300,98.71997576305448,4.056413835924735,0.35757813696217094
1400,98.44533937728296,3.9108523252604663,0.34485958982060894
1500,98.18282312045997,3.7894402911429825,0.3342697633473585
1600,98.04925479564152,3.6214941982151703,0.3194896426311076
1700,97.919775075539,3.4741935153604993,0.3065328088585903
1800,97.68013120619908,3.405619485025379,0.3005994957674667
1900,97.55955055345295,3.2881374404285846,0.29027251357456535
2000,97.44376886848902,3.1824272751440055,0.2809831244203888
