L,det_minus,det_plus,det_plus_approx
100,2.120413159771718,0.0011829132482647831,0.0011361873604500035
200,2.120446468572783,0.0005833362888870951,0.0005601157833958894
300,2.120467499434,0.00038494013761800777,0.0003695307706920378
400,2.120483440034822,0.0002863597435666663,0.00027484517398818867
500,2.120496692174238,0.00022748563856920352,0.0002183031183940875
600,2.120508067040942,0.0001884126336276925,0.00018078166555093658
700,2.1205172964187837,0.00016070308506293794,0.0001541767402777994
800,2.1205253588678272,0.00014000729280771613,0.000134307855027663
900,2.1205335489128005,0.00012388578935296744,0.00011882998107272372
1000,2.120540472227853,0.00011107358462327827,0.00010653112475785746
1100,2.1205459728724074,0.00010067796990318485,9.655392350275877e-5
1200,2.1205531244283433,9.191238898300161e-5,8.813892373335271e-5
1300,2.120557126704052,8.466407057712585e-5,8.118413699564893e-5
1400,2.1205628370217435,7.836298400670786e-5,7.513628565141015e-5
1500,2.1205668883689275,7.297741170707966e-5,6.996879254505297e-5
1600,2.1205727854506464,6.818433730630296e-5,6.53680336251341e-5
1700,2.1205750803392336,6.409939823449331e-5,6.145011762529288e-5
1800,2.120579241070672,6.0396530392029405e-5,5.78970444039262e-5
1900,2.1205834555170164,5.7081051230656833e-5,5.4715638771233784e-5
2000,2.1205877301081104,5.409481704607314e-5,5.185011423986725e-5
