weight,saddle,pf_minus,pf_plus,p_plus,entropy
0.0,0.6981306191931259,2.020000263603184,2.8130690438259967e-5,1.392588862499475e-5,0.0
0.02,0.6028276821834968,2.01974475636452,0.028371650357678916,0.01385255753264769,0.098039113279732
0.04,0.5213902825159107,2.0194866720074516,0.040120317459841896,0.019479598615179883,0.167944147734173
0.06,0.4451879893163911,2.0192278895286297,0.049137105394050654,0.02375649632181456,0.22696752250060445
0.08,0.3723863030965553,2.0189686686561332,0.05673925058684908,0.027334891417450526,0.27876937176858735
0.1,0.30211395915370465,2.0187092349580458,0.06343707157101185,0.03046715371157639,0.32508297339144826
0.12,0.23385779645189136,2.0184489446820697,0.06949314095481433,0.03328307879460022,0.36692499127270967
0.14,0.16727873213789896,2.018188605674332,0.07506219327875957,0.03585914947043174,0.4049634850639386
0.16,0.10213576914610731,2.017927869994393,0.0802459691007394,0.03824562465012271,0.439669879401343
0.18,0.03824871357853121,2.0176667535494826,0.08511486505213872,0.040477272722567015,0.47139348681009413
0.2,-0.02452230059612054,2.0174052716074393,0.08972013626724684,0.04257940032043059,0.5004024235381879
0.22,-0.08628900995474417,2.0171440970784076,0.09410004921817454,0.044570898814918776,0.5269079614313804
0.24,-0.14714273542662365,2.016881965341647,0.09828552439833335,0.04646701732845548,0.5510799280869728
0.26,-0.20715952481588645,2.0166195075137177,0.10230003667889948,0.04827933979809478,0.5730569171314204
0.28,-0.2664036892937107,2.0163575079370357,0.10616255539718367,0.05001722114721275,0.5929533174474745
0.3,-0.3249303223817953,2.0160952763156064,0.10988947960347878,0.05168874296841909,0.6108643020548935
0.32,-0.38278715291824894,2.0158319722449534,0.11349457156121474,0.05330068884518923,0.6268694575724263
0.34,-0.4400159399792722,2.015569258551832,0.11698830464135951,0.05485821656611544,0.6410354778811557
0.36,-0.49665351219681625,2.0153063309660353,0.12038074621232005,0.05636628488259885,0.6534181947937018
0.38,-0.5527326019582371,2.015043194628356,0.12368022735821835,0.05782899559931726,0.664064126564108
0.4,-0.6082824909820697,2.014779854538227,0.12689399585459352,0.059249916055761215,0.6730116670092564
0.42,-0.6633295288571976,2.0145163155573638,0.13002840369910462,0.06063217172929206,0.6802920001921535
0.44,-0.7178975526045963,2.0142525824132593,0.1330890548603295,0.061978519183984344,0.6859298002523729
0.46,-0.772008229809476,2.013988659702649,0.13608092309713413,0.06329140423443037,0.6899437584583995
0.48,-0.8256813419746816,2.0137245518946068,0.1390084469409814,0.06457300882932114,0.6923469670899615
0.5,-0.8789350205732471,2.0134602633341334,0.14187560702900961,0.06582528921819764,0.6931471805599453
0.52,-0.9317859503757082,2.0131969224777078,0.14468563828502745,0.06704982046561708,0.6923469670899615
0.54,-0.9842495169057881,2.012932305169414,0.14744249529023054,0.06824857208057623,0.6899437584583995
0.56,-1.0363399793699448,2.012667518220312,0.1501487662003519,0.0694228017802127,0.6859298002523729
0.58,-1.0880705788021272,2.0124037587430483,0.1528068010262968,0.07057364482952408,0.6802920001921535
0.6,-1.1394536259771613,2.0121386610223477,0.15541973530146438,0.07170267503060443,0.6730116670092564
0.62,-1.19050063243422,2.0118746421864717,0.15798915169485173,0.0728106308517412,0.664064126564108
0.64,-1.2412223437659602,2.011609244310245,0.16051778488007717,0.07389889390580968,0.6534181947937018
0.66,-1.2916288571551304,2.0113449728777546,0.16300689442904018,0.0749680384669959,0.6410354778811556
0.68,-1.3417296331465032,2.011079285008202,0.1654588919871699,0.07601929234964286,0.6268694575724262
0.7,-1.3915336005628975,2.0108147674702153,0.16787478305463774,0.07705309965533923,0.6108643020548935
0.72,-1.4410491589615755,2.010550141521299,0.1702564084443566,0.0780703856777383,0.5929533174474745
0.74,-1.4902842398315044,2.010284041920313,0.1726054904860375,0.07907202262121002,0.5730569171314204
0.76,-1.539246366871355,2.010019178418884,0.17492274139336053,0.0800583026062276,0.5510799280869728
0.78,-1.587942647056303,2.0097542096747163,0.1772097037609399,0.08103000816440023,0.5269079614313803
0.8,-1.636379829391639,2.009489136521424,0.17946753518078107,0.08198770560461628,0.5004024235381879
0.82,-1.6845643172463658,2.009222518138642,0.18169761098630713,0.08293210170964878,0.4713934868100942
0.84,-1.7325022249696573,2.0089572176858024,0.1839003693849962,0.08386334364314503,0.439669879401343
0.86,-1.780199352733252,2.0086918157796414,0.18607706180462127,0.08478207601040547,0.4049634850639386
0.88,-1.8276612382579707,2.008426313198451,0.1882285922778537,0.08568874055209856,0.36692499127270967
0.9,-1.8748931674417308,2.008160710709475,0.19035581375272445,0.08658375392438282,0.32508297339144815
0.92,-1.9219001911536109,2.007895009068675,0.1924595320451364,0.0874675096440204,0.2787693717685873
0.94,-1.9686871405666535,2.00762920902115,0.1945405094067245,0.0883403798439326,0.22696752250060456
0.96,-2.0152586411853872,2.007363311301216,0.19659946775276954,0.08920271686128774,0.16794414773417307
0.98,-2.0616191257038983,2.00709731663259,0.19863709158897042,0.0900548546772354,0.09803911327973205
1.0,-2.1077728458139413,2.0068312257284524,0.2006540306706956,0.0908971102248731,0.0
