T,β,sre
0.2,5.0,3.85751282721003e-5
0.19898989898989902,5.025380710659897,3.925471787313839e-5
0.197979797979798,5.051020408163264,3.994928038597578e-5
0.196969696969697,5.076923076923077,4.0659214968652435e-5
0.19595959595959597,5.103092783505154,4.1384932265131624e-5
0.19494949494949496,5.129533678756476,4.2126858152968794e-5
0.19393939393939397,5.156249999999999,4.288543010133594e-5
0.19292929292929292,5.183246073298429,4.366110015352476e-5
0.19191919191919193,5.2105263157894735,4.445433531241605e-5
0.19090909090909092,5.238095238095238,4.526561733753098e-5
0.18989898989898993,5.2659574468085095,4.609544338007865e-5
0.18888888888888888,5.294117647058823,4.694432738805432e-5
0.1878787878787879,5.32258064516129,4.7812799716329124e-5
0.18686868686868688,5.351351351351351,4.870140803925338e-5
0.18585858585858586,5.380434782608695,4.961071896314451e-5
0.18484848484848487,5.40983606557377,5.054131729709255e-5
0.18383838383838383,5.43956043956044,5.1493807780467193e-5
0.18282828282828284,5.469613259668508,5.246881509268775e-5
0.18181818181818182,5.5,5.346698579522524e-5
0.1808080808080808,5.5307262569832405,5.4488987783152254e-5
0.17979797979797982,5.561797752808988,5.5535511934046156e-5
0.1787878787878788,5.59322033898305,5.660727341849636e-5
0.17777777777777778,5.625,5.770501109614301e-5
0.1767676767676768,5.657142857142857,5.882949092805845e-5
0.17575757575757578,5.689655172413793,5.9981504618722425e-5
0.17474747474747473,5.722543352601156,6.116187186488986e-5
0.17373737373737375,5.755813953488372,6.237144155996077e-5
0.17272727272727276,5.789473684210526,6.361109326391556e-5
0.1717171717171717,5.823529411764706,6.488173688090626e-5
0.1707070707070707,5.8579881656804735,6.618431617333442e-5
0.1696969696969697,5.892857142857142,6.751980825736581e-5
0.1686868686868687,5.92814371257485,6.888922647618756e-5
0.16767676767676767,5.963855421686747,7.029362084942647e-5
0.16666666666666669,5.999999999999999,7.173408000582526e-5
0.16565656565656567,6.036585365853658,7.321173317453855e-5
0.16464646464646465,6.07361963190184,7.472775210182192e-5
0.16363636363636366,6.11111111111111,7.628335141962594e-5
0.16262626262626262,6.149068322981367,7.787979221518526e-5
0.1616161616161616,6.187500000000001,7.951838365460873e-5
0.1606060606060606,6.226415094339623,8.120048436932592e-5
0.15959595959595962,6.265822784810125,8.292750580896069e-5
0.1585858585858586,6.305732484076432,8.470091316237216e-5
0.15757575757575756,6.346153846153847,8.652222928073883e-5
0.15656565656565657,6.387096774193548,8.839303670882259e-5
0.15555555555555556,6.428571428571429,9.03149797908398e-5
0.15454545454545454,6.470588235294118,9.228976882358353e-5
0.15353535353535355,6.513157894736842,9.431918176172616e-5
0.15252525252525254,6.556291390728476,9.64050679570505e-5
0.15151515151515152,6.6,9.854935196873527e-5
0.1505050505050505,6.644295302013423,0.00010075403656983895
0.14949494949494951,6.689189189189189,0.00010302120634886336
0.1484848484848485,6.7346938775510194,0.00010535303207870328
0.14747474747474748,6.780821917808219,0.00010775177480315534
0.14646464646464646,6.827586206896552,0.00011021978922887143
0.14545454545454548,6.874999999999999,0.00011275953063361044
0.14444444444444446,6.9230769230769225,0.00011537355714530406
0.14343434343434344,6.971830985915493,0.00011806453650464732
0.14242424242424243,7.0212765957446805,0.00012083525107797755
0.14141414141414144,7.07142857142857,0.000123688603420824
0.14040404040404042,7.1223021582733805,0.00012662762273940587
0.1393939393939394,7.173913043478261,0.00012965547169585534
0.1383838383838384,7.226277372262774,0.00013277545150369718
0.13737373737373737,7.279411764705882,0.00013599101146866133
0.13636363636363638,7.333333333333332,0.00013930575535958667
0.13535353535353536,7.388059701492537,0.00014272344963295325
0.13434343434343435,7.443609022556391,0.0001462480319780468
0.13333333333333336,7.499999999999998,0.00014988362070500472
0.13232323232323234,7.557251908396945,0.00015363452486116813
0.13131313131313133,7.615384615384615,0.00015750525324875753
0.1303030303030303,7.674418604651162,0.00016150052733543419
0.1292929292929293,7.734375,0.00016562529048869123
0.1282828282828283,7.79527559055118,0.00016988472224088724
0.1272727272727273,7.857142857142856,0.00017428425067933517
0.12626262626262627,7.92,0.00017882956610648648
0.12525252525252525,7.983870967741935,0.00018352663712661865
0.12424242424242425,8.048780487804878,0.00018838172502899653
0.12323232323232325,8.114754098360654,0.00019340140165979847
0.12222222222222223,8.181818181818182,0.00019859256689436222
0.12121212121212123,8.249999999999998,0.0002039624686203112
0.12020202020202021,8.319327731092436,0.00020951872258745396
0.11919191919191921,8.389830508474574,0.0002152693341530565
0.1181818181818182,8.46153846153846,0.00022122272259483822
0.11717171717171718,8.534482758620689,0.00022738774532893302
0.11616161616161616,8.608695652173914,0.00023377372508992522
0.11515151515151516,8.68421052631579,0.0002403904780230448
0.11414141414141414,8.761061946902656,0.0002472483450439711
0.11313131313131312,8.839285714285715,0.0002543582248453191
0.11212121212121214,8.918918918918918,0.0002617316077859755
0.11111111111111113,8.999999999999998,0.0002693806156379708
0.11010101010101012,9.082568807339449,0.0002773180399398001
0.1090909090909091,9.166666666666666,0.0002855573878841611
0.10808080808080808,9.25233644859813,0.0002941129269089515
0.10707070707070708,9.339622641509433,0.0003029997367827164
0.10606060606060606,9.428571428571429,0.00031223376269995384
0.10505050505050505,9.51923076923077,0.000321831873543843
0.10404040404040406,9.611650485436892,0.00033181192553044525
0.10303030303030304,9.705882352941176,0.0003421928292643983
0.10202020202020202,9.801980198019802,0.00035299462219917643
0.10101010101010101,9.9,0.0003642385487161448
0.1,10.0,0.00037594714474487034
