β,purity,weight
0.1,1.5003837413167889,1.953125e-5
0.5,1.5111303047376845,1.953125e-5
1.0,1.5433381426091577,1.953125e-5
1.5,1.5934664533033696,1.953125e-5
2.0,1.6578245321415586,1.953125e-5
2.5,1.733079084676445,1.953125e-5
3.0,1.8165421524647603,0.0001678466796875
3.5,1.8948677732209291,0.0032958984375
4.0,1.975469179133054,0.004730224609375
4.5,2.0661391878092026,0.00634765625
5.0,2.160216936926373,0.008026123046875
5.5,2.2561958718134005,0.00982666015625
6.0,2.353725995343009,0.01171875
6.5,2.4525523362488793,0.0136871337890625
7.0,2.5524867229304222,0.0157318115234375
7.5,2.6534382144243236,0.017822265625
8.0,2.755341897778302,0.0199432373046875
8.5,2.8581340315838473,0.0221099853515625
9.0,2.9618250918423517,0.0242919921875
9.5,3.066426462708347,0.0264739990234375
10.0,3.171935890533948,0.0286712646484375
10.5,3.278405498328099,0.030853271484375
11.0,3.38571552635569,0.03322345733642578
11.5,3.4876312049683285,0.03553905487060546
12.0,3.5968405604128035,0.0375518798828125
12.5,3.7071060038060657,0.039642333984375
13.0,3.8103278781592866,0.04200279235839843
13.5,3.9225933905280823,0.0439300537109375
14.0,4.036051159734742,0.046112594604492185
14.5,4.1411692534261535,0.0479736328125
15.0,4.257016233305422,0.0497894287109375
15.5,4.36312610332542,0.05197059631
16.0,4.48155327383161,0.0533599853515625
16.5,4.588994023648388,0.0550994873046875
17.0,4.7100958199808085,0.0565338134765625
17.5,4.818925465192109,0.0580596923828125
18.0,4.913174053994047,0.060150146484375
18.5,5.005995657200565,0.0628814697265625
19.0,5.097212728974554,0.0662384033203125
19.5,5.18664864245563,0.0702667236328125
20.0,5.274118635308147,0.075042724609375
20.5,5.3803291385087855,0.0792694091796875
21.0,5.465282339018068,0.0837249755859375
21.5,5.547907404751121,0.089447021484375
22.0,5.627589063502353,0.0974578857421875
22.5,5.730658065892636,0.10565185546875
23.0,5.808080373690555,0.1115264892578125
23.5,5.881536095495882,0.121612548828125
24.0,5.983213945848504,0.1301727294921875
24.5,6.053669171666935,0.139892578125
25.0,6.155122086387514,0.1482086181640625
25.5,6.2552272435283,0.1608123779296875
26.0,6.322707925070302,0.1680908203125
26.5,6.422501064280438,0.1804351806640625
27.0,6.522968944583345,0.1925811767578125
27.5,6.624105029393702,0.204437255859375
28.0,6.685445127647303,0.213714599609375
28.5,6.787265986691568,0.222320556640625
29.0,6.888616497932477,0.233001708984375
29.5,6.990494651160058,0.24322509765625
30.0,7.092839987604049,0.2530059814453125
30.5,7.195653778444917,0.2623291015625
31.0,7.298787957800472,0.271209716796875
31.5,7.402238334376106,0.2796630859375
32.0,7.505953587981363,0.2877197265625
32.5,7.609895593882917,0.295379638671875
33.0,7.71401584066378,0.3026885986328125
33.5,7.818282697165137,0.3096466064453125
34.0,7.922662696790271,0.3162689208984375
34.5,8.027117099305583,0.322601318359375
35.0,8.131625811079367,0.3286285400390625
35.5,8.235977092361761,0.3351287841796875
36.0,8.405928178778009,0.3429107666015625
36.5,8.512086742436862,0.34808349609375
37.0,8.620501699227203,0.3419342041015625
37.5,8.726616876704167,0.34613037109375
38.0,8.831955014885647,0.3538970947265625
38.5,8.936898842472056,0.3632354736328125
39.0,9.041538823686922,0.3735504150390625
39.5,9.146434102137,0.38189697265625
40.0,9.250705280436055,0.39263916015625
