beta,log_purity,w_crit,log_Z
0.5,0.3429267934703662,0.014222712305282248,0.34850681192703137
1.0,0.33425299703648176,0.04559652155008799,0.354087184674597
1.5,0.3241204097104418,0.07936503273492311,0.3627726442580948
2.0,0.3145295628989014,0.10983510699425086,0.37392375164030384
2.5,0.3061394436633354,0.13603031032228421,0.386962928693978
3.0,0.29901123625644394,0.15835328580409144,0.401430214647084
3.5,0.2930155520208328,0.1774447725384271,0.41697970285561375
4.0,0.28797051939471113,0.1938922957414731,0.4333568178792947
4.5,0.28372309399595047,0.20837690557375133,0.45037478041367485
5.0,0.2800582996424387,0.22118852585419968,0.46789572397593127
5.5,0.2769442119237307,0.2326265078956647,0.48581681060966647
6.0,0.2742060587561123,0.24291570971912804,0.5040604825246999
6.5,0.27184487340060554,0.25226915014656565,0.522567567419533
7.0,0.2698163892613978,0.2607913423299883,0.5412930765940039
7.5,0.2679095692772599,0.2686185034496178,0.5602013295354342
8.0,0.26621133645162404,0.27586785285405,0.5792622040768773
8.5,0.2646955666103676,0.28256485355946015,0.5984539750194156
9.0,0.2636110526218218,0.2888494191925429,0.61775783598793
9.5,0.26243721293915584,0.2947238874004431,0.6371595992418535
10.0,0.2613934183579966,0.30021911094194026,0.656646280365486
10.5,0.26008068354932473,0.30535873379752126,0.67620695785278
11.0,0.2592206041114457,0.31031219252538705,0.6958332293384242
11.5,0.2584567549470766,0.31488449044777417,0.7155195120756892
12.0,0.25778536097475196,0.31932302590192607,0.7352576730822495
12.5,0.25719637830378445,0.32348766439680593,0.7550430811101396
13.0,0.2566912155388407,0.3274753483272218,0.7748730899976438
13.5,0.2562470767459621,0.33130154199260353,0.794734497763405
14.0,0.25588151071190274,0.33498033882052153,0.8146344571045521
14.5,0.255597764627786,0.33842378261841477,0.8345750592750512
15.0,0.25449144809472485,0.3418379057103874,0.8545390755505385
15.5,0.25423943511401154,0.34503254997951516,0.8745206690638746
16.0,0.2540817213981514,0.3481157128177556,0.8945450136194364
16.5,0.25396714811373194,0.35109432482736586,0.9145855383566155
17.0,0.2538890089097871,0.3539747068906405,0.9346379702835448
17.5,0.2539365247926599,0.3567627034392857,0.954746061129313
18.0,0.25257163610709504,0.35946378936301426,0.9748121077727439
18.5,0.2526091612542704,0.3620831538384749,0.9949398623816512
19.0,0.2526739558082282,0.3645249501906756,1.0150753861107495
19.5,0.25276837055724183,0.36699040204192535,1.035214725683111
20.0,0.25288117647259106,0.36938716359762114,1.0553538099110258
