L,det_minus,det_plus
100,4.2235359254264715,0.3672571813823329
200,4.223553341077915,0.3672567848533326
300,4.223562912373762,0.3672571562378682
400,4.2235661524471375,0.3672574089732381
500,4.223568376238032,0.36725758890385957
600,4.223569975287387,0.36725772064414486
700,4.2235711745251425,0.3672578205171171
800,4.223577239819345,0.3672579625324541
900,4.223577991065591,0.3672580258867127
1000,4.2235786037006635,0.36725807774869396
1100,4.223579112641691,0.36725812096044
1200,4.2235795420484745,0.3672581575059218
1300,4.223579909148485,0.36725818880942207
1400,4.22358022654546,0.36725821591849683
1500,4.223580503668542,0.3672582396202396
1600,4.223580747709609,0.3672582605171122
1700,4.223580964247683,0.3672582790778646
1800,4.223581157676632,0.3672582956726031
1900,4.223581331502384,0.3672583105972952
2000,4.223581488558395,0.36725832409158876
